id,name,frequency,sort_order,is_active,category
1,取替,785,1,True,動作
2,脱着,701,2,True,動作
3,溶接,499,3,True,動作
4,加工,241,4,True,動作
5,交換,219,5,True,動作
6,修理,145,6,True,動作
7,取付,101,7,True,動作
8,修正,100,8,True,動作
9,直し,99,9,True,動作
10,製作,93,10,True,動作
11,切断,80,11,True,動作
12,調整,61,12,True,動作
13,塗装,49,13,True,動作
14,鈑金,38,14,True,動作
15,取り付け,37,15,True,動作
16,付替,34,16,True,動作
17,張替,29,17,True,動作
18,取り外し,25,18,True,動作
19,引出し,18,19,True,動作
20,補修,16,20,True,動作
21,研磨,9,21,True,動作
22,組替,6,22,True,動作
23,切替,5,23,True,動作
24,仕上げ,4,24,True,動作
25,切り替え,1,25,True,動作
26,リベット打ち換え,1,26,True,動作
