work_item,target,action,position,other,confidence,frequency
パチ当てステン溶接1ヶ所,,溶接,,パチ当てステン1ヶ所,40,1
リヤナンバーブラケット脱着,ブラケット,脱着,,リヤナンバー,80,1
ボルト折れ込み取外し加工3本,,加工,外,ボルト折れ込み取し3本,60,1
溶接ナット切断取替溶接1個,,取替,,溶接ナット切断溶接1個,40,1
リヤステップ応急曲がり直し,ステップ,直し,,リヤ応急曲がり,80,1
踊場異音点検,,,,,0,1
キャッチ2個取替,キャッチ,取替,,2個,80,1
工具箱キャッチ応急処置,キャッチ,,,工具箱応急処置,40,1
ボルト折れ込み応急修理,,修理,,ボルト折れ込み応急,40,1
レール取り外し,レール,取り外し,外,取りし,100,1
作動油タンク塗装,タンク,塗装,,作動油,80,1
研磨作業,,研磨,,作業,40,1
左右煽りドアスケット調整4個,ドア,調整,左,右煽りスケット4個,100,1
物入れ取付ボルト折れ込み取外し取替加工3本,,取替,外,物入れ取付ボルト折れ込み取し加工3本,60,1
リヤメンバーステンカバー貼り付け加工,カバー,加工,,リヤメンバーステン貼り付け,80,1
右前ウィングシート脱着,シート,脱着,右,前ウィング,100,1
キャッチ受け曲がり直し,キャッチ,直し,,受け曲がり,80,1
イコライザーセンターシャフト嚙み込み切断取外し加工,,切断,外,イコライザーセンターシャフト嚙み込み取し加工,60,1
左エンジンカバー脱着,カバー,脱着,左,エンジン,100,1
左右アウトリガーパイプ折損溶接,パイプ,溶接,左,右アウトリガー折損,100,1
工具箱キャッチ2個取替加工(タキゲンキャッチ大2個含む）,キャッチ,取替,,工具箱2個加工(タキゲンキャッチ大2個含む）,80,1
ブラケット切断鈑金溶接,ブラケット,溶接,,切断鈑金,80,1
右ウィングキャッチロック溶接調整,キャッチ,調整,右,ウィングロック溶接,100,1
床板中央張替加工,,加工,中央,床板張替,60,1
ボルト折れ込み取外しスタッド取替2本,,取替,外,ボルト折れ込み取しスタッド2本,60,1
ウィングキャッチ3個曲がり直し,キャッチ,直し,,ウィング3個曲がり,80,1
左右スケット4個点検,,,左,右スケット4個点検,20,1
ドレインコックワイヤークランプ取替,ランプ,取替,,ドレインコックワイヤーク,80,1
クランプ止めボルト切断取替溶接2本,ランプ,取替,,ク止めボルト切断溶接2本,80,1
左後ろ煽りドア蝶番破損部穴掘りボルト取替加工4ヶ所(材料込み）,ドア,取替,左,後ろ煽り蝶番破損部穴掘りボルト加工4ヶ所(材料込み）,100,1
左右工具箱キャッチ調整点検8個,キャッチ,調整,左,右工具箱点検8個,100,1
コンテナロックハンドル制作取付加工,ハンドル,加工,,コンテナロック制作取付,80,1
スケットアーム取替加工,,取替,,スケットアーム加工,40,1
ドライバーシート嚙み込み脱着分解点検,シート,脱着,,ドライバー嚙み込み分解点検,80,1
ルーフマーカーブラケットASSY取外し雨切りボルト取付4本,ブラケット,取付,外,ルーフマーカーASSY取し雨切りボルト4本,100,1
