work_item,target,action,position,other,confidence,frequency
左右ファーストステップ脱着ステイ修正,ステップ,脱着,左,右ファーストステイ修正,100,1
左右ステップステイ脱着修正,ステップ,脱着,左,右ステイ修正,100,1
バンパーステイ交換,バンパー,交換,,ステイ,80,1
右ピラー引出し鈑金,,引出し,右,ピラー鈑金,60,1
左マッドガード取替,ガード,取替,左,マッド,100,1
右アッパーフェンダー,フェンダー,,右,アッパー,60,1
スプラッシュシールゴム交換,ゴム,交換,,スプラッシュシール,80,1
ブレーキペダル脱着修正,,脱着,,ブレーキペダル修正,40,1
左サイドパネル取替加工,パネル,取替,左,サイド加工,100,1
インナーパネル鈑金,パネル,鈑金,インナー,,100,1
ガーニッシュ脱着,ガーニッシュ,脱着,,,80,1
センターフィニッシャー,フィニッシャー,,センター,,60,1
右サイドガードステー1本脱着曲がり直し鈑金溶接,ステー,脱着,右,サイドガード1本曲がり直し鈑金溶接,100,1
ウィングスイッチステー,ステー,,,ウィングスイッチ,40,1
マーカーランプステー脱着鈑金,ランプ,脱着,,マーカーステー鈑金,80,1
横根太曲がり直し,,直し,,横根太曲がり,40,1
左右フレーム後ろ側修正,,修正,左,右フレーム後ろ側,60,1
ロアフェンダー取替取付部分修正,フェンダー,取替,ロア,取付部分修正,100,1
材料,,,,,0,1
左右サイドインシールパネル,パネル,,左,右サイドインシール,60,1
エアーコンデンサ脱着,,脱着,,エアーコンデンサ,40,1
ロアフェンダー脱着修正,フェンダー,脱着,ロア,修正,100,1
燃料コック2個取替,,取替,,燃料コック2個,40,1
左梯子破損部分切断製作切り替え加工溶接,,溶接,左,梯子破損部分切断製作切り替え加工,60,1
グリルキャッチ交換,グリル,交換,,キャッチ,80,1
リッドワイヤー交換,,交換,,リッドワイヤー,40,1
右インナーシールパネル取替,パネル,取替,右,インナーシール,100,1
フロアーパネル,パネル,,ロア,フー,60,1
右ピーラー切替,,切替,右,ピーラー,60,1
エアーダクト,,,,,0,1
キャブキャッチ脱着,キャッチ,脱着,,キャブ,80,1
左フラッシャー取替,,取替,左,フラッシャー,60,1
他部品付替え修正,,修正,,他部品付替え,40,1
りん木入れ曲がり直し修正,,修正,,りん木入れ曲がり直し,40,1
床枠右コーナー製作切替,,製作,右,床枠コーナー切替,60,1
補強板切断鈑金加工,,切断,,補強板鈑金加工,40,1
15Aパイプ2本,パイプ,,,15A2本,40,1
10Aパイプ１本(UD在庫品）,パイプ,,,10A１本(UD在庫品）,40,1
アピトン25㎜×120㎜×5000㎜,,,,,0,1
左右ファーストステップ,ステップ,,左,右ファースト,60,1
右アッパーフェンダー脱着修正,フェンダー,脱着,右,アッパー修正,100,1
リヤバンパー曲がり直し,バンパー,直し,,リヤ曲がり,80,1
左前ピラー鈑金,,鈑金,左,前ピラー,60,1
ストリップゴム脱着,ゴム,脱着,,ストリップ,80,1
サイド内張脱着,,脱着,内,サイド張,60,1
グリップ取替,,取替,,グリップ,40,1
フロアーパネル左後ろ引出し鈑金,パネル,引出し,左,フロアー後ろ鈑金,100,1
左前ピラー引出し鈑金,,引出し,左,前ピラー鈑金,60,1
左前枠骨切断鈑金溶接,,溶接,左,前枠骨切断鈑金,60,1
コンパネ4×8,,,,,0,1
パイプ交換のためキャブ脱着,パイプ,脱着,,交換のためキャブ,80,1
右前ピラー応急引出し鈑金,,引出し,右,前ピラー応急鈑金,60,1
ロアパネル鈑金,パネル,鈑金,ロア,,100,1
エンドカバー取替,カバー,取替,,エンド,80,1
右ピラー切り替え鈑金,,鈑金,右,ピラー切り替え,60,1
左ロープフック曲がり直し,,直し,左,ロープフック曲がり,60,1
