id,name,frequency,sort_order,is_active,category
1,取替,786,1,True,動作（詳細）
2,脱着,701,2,True,動作（詳細）
3,溶接,499,3,True,動作（詳細）
4,加工,240,4,True,動作（詳細）
5,交換,219,5,True,動作（詳細）
6,修理,145,6,True,動作（詳細）
7,取付,138,7,True,動作（詳細）
8,修正,97,8,True,動作（詳細）
9,曲がり直し,95,9,True,動作（詳細）
10,製作,93,10,True,動作（詳細）
11,点検,82,11,True,動作（詳細）
12,切断,80,12,True,動作（詳細）
13,調整,61,13,True,動作（詳細）
14,塗装,49,14,True,動作（詳細）
15,鈑金,38,15,True,動作（詳細）
16,張替,34,16,True,動作（詳細）
17,付替,34,17,True,動作（詳細）
18,取り外し,25,18,True,動作（詳細）
19,打替,24,19,True,動作（詳細）
20,カバー,23,20,True,動作（詳細）
21,貼付,23,21,True,動作（詳細）
22,清掃,22,22,True,動作（詳細）
23,引出し,18,23,True,動作（詳細）
24,補修,16,24,True,動作（詳細）
25,研磨,9,25,True,動作（詳細）
26,組替,6,26,True,動作（詳細）
27,切替,6,27,True,動作（詳細）
28,仕上げ,4,28,True,動作（詳細）
29,錆止め,3,29,True,動作（詳細）
30,穴開け,3,30,True,動作（詳細）
31,廃棄,2,31,True,動作（詳細）
32,養生,2,32,True,動作（詳細）
33,面取り,2,33,True,動作（詳細）
34,分解,1,34,True,動作（詳細）
35,梱包,1,35,True,動作（詳細）
36,解体,1,36,True,動作（詳細）
