id,name,frequency,sort_order,is_active,category
1,ドア,219,1,True,対象（詳細）
2,サイドガード,199,2,True,対象（詳細）
3,ステー,186,3,True,対象（詳細）
4,ブラケット,174,4,True,対象（詳細）
5,パイプ,94,5,True,対象（詳細）
6,燃料タンク,55,6,True,対象（詳細）
7,テールライト,42,7,True,対象（詳細）
8,ホース,40,8,True,対象（詳細）
9,ハンドル,36,9,True,対象（詳細）
10,コーナーパネル,31,10,True,対象（詳細）
11,フラッシャーライト,30,11,True,対象（詳細）
12,ブレーキ,26,12,True,対象（詳細）
13,バックライト,19,13,True,対象（詳細）
14,フォグライト,18,14,True,対象（詳細）
15,インナーバンパー,16,15,True,対象（詳細）
16,ファーストステップ,16,16,True,対象（詳細）
17,フロントバンパー,16,17,True,対象（詳細）
18,アッパーフェンダー,14,18,True,対象（詳細）
19,バンパーフィニッシャー,13,19,True,対象（詳細）
20,アンダーミラー,12,20,True,対象（詳細）
21,マフラーカバー,12,21,True,対象（詳細）
22,マーカーライト,12,22,True,対象（詳細）
23,バッテリー,12,23,True,対象（詳細）
24,タイヤハウスカバー,11,24,True,対象（詳細）
25,マッドガード,11,25,True,対象（詳細）
26,ヘッドライト,10,26,True,対象（詳細）
27,サイドミラー,10,27,True,対象（詳細）
28,バックミラー,10,28,True,対象（詳細）
29,ロアフェンダー,9,29,True,対象（詳細）
30,ドアパネル,9,30,True,対象（詳細）
31,セカンドステップ,8,31,True,対象（詳細）
32,アンダーカバー,7,32,True,対象（詳細）
33,エアタンク,7,33,True,対象（詳細）
34,エンジンカバー,6,34,True,対象（詳細）
35,タイヤ灯,6,35,True,対象（詳細）
36,コーナーライト,5,36,True,対象（詳細）
37,ホイールカバー,5,37,True,対象（詳細）
38,エンドカバー,4,38,True,対象（詳細）
39,サイドパネル,4,39,True,対象（詳細）
40,エンジン,3,40,True,対象（詳細）
41,ペダル,3,41,True,対象（詳細）
42,ロアカバー,3,42,True,対象（詳細）
43,インナーパネル,3,43,True,対象（詳細）
44,リアフェンダー,3,44,True,対象（詳細）
45,NOXセンサー,3,45,True,対象（詳細）
46,アッパーステップ,3,46,True,対象（詳細）
47,シートベルト,2,47,True,対象（詳細）
48,ダッシュボード,2,48,True,対象（詳細）
49,DPFセンサー,2,49,True,対象（詳細）
50,サイドセンサー,2,50,True,対象（詳細）
51,コンプレッサー,2,51,True,対象（詳細）
52,クラッチ,2,52,True,対象（詳細）
53,ワイパー,2,53,True,対象（詳細）
54,アドブルータンク,2,54,True,対象（詳細）
55,ロアステップ,2,55,True,対象（詳細）
56,ホーン,2,56,True,対象（詳細）
57,ウォッシャータンク,1,57,True,対象（詳細）
58,フロントフェンダー,1,58,True,対象（詳細）
59,フィルター,1,59,True,対象（詳細）
60,オイルタンク,1,60,True,対象（詳細）
61,レベリングセンサー,1,61,True,対象（詳細）
62,バッテリーカバー,1,62,True,対象（詳細）
63,サードステップ,1,63,True,対象（詳細）
