target_id,action_id,position_id,target_name,action_name,position_name,frequency,is_recommended
2,3,4,サイドガード,溶接,サイド,123,True
2,3,1,サイドガード,溶接,左,75,True
2,3,2,サイドガード,溶接,右,54,True
2,8,4,サイドガード,修正,サイド,54,True
2,4,4,サイドガード,加工,サイド,44,True
2,7,4,サイドガード,取付,サイド,38,True
3,3,4,ステー,溶接,サイド,37,True
1,1,1,ドア,取替,左,35,True
2,8,1,サイドガード,修正,左,35,True
1,1,2,ドア,取替,右,34,True
3,3,1,ステー,溶接,左,33,True
2,27,4,サイドガード,切替,サイド,32,True
2,4,1,サイドガード,加工,左,30,True
3,2,2,ステー,脱着,右,28,True
3,3,2,ステー,溶接,右,28,True
3,7,1,ステー,取付,左,26,True
3,8,4,ステー,修正,サイド,25,True
2,7,1,サイドガード,取付,左,24,True
2,2,4,サイドガード,脱着,サイド,22,True
2,8,2,サイドガード,修正,右,22,True
2,27,1,サイドガード,切替,左,21,True
5,3,4,パイプ,溶接,サイド,21,True
5,27,4,パイプ,切替,サイド,21,True
3,8,1,ステー,修正,左,21,True
1,1,13,ドア,取替,後,20,True
4,3,1,ブラケット,溶接,左,20,True
1,4,1,ドア,加工,左,20,True
5,4,4,パイプ,加工,サイド,19,True
3,4,1,ステー,加工,左,19,True
3,7,2,ステー,取付,右,19,True
1,4,2,ドア,加工,右,19,True
3,9,2,ステー,曲がり直し,右,18,True
5,3,1,パイプ,溶接,左,17,True
3,7,4,ステー,取付,サイド,17,True
3,2,1,ステー,脱着,左,17,True
2,10,4,サイドガード,製作,サイド,17,True
1,2,2,ドア,脱着,右,16,True
2,7,2,サイドガード,取付,右,16,True
5,4,1,パイプ,加工,左,16,True
4,3,2,ブラケット,溶接,右,16,True
3,8,2,ステー,修正,右,16,True
1,13,2,ドア,調整,右,15,True
5,27,1,パイプ,切替,左,15,True
4,4,1,ブラケット,加工,左,15,True
2,4,2,サイドガード,加工,右,15,True
2,9,4,サイドガード,曲がり直し,サイド,14,True
1,8,2,ドア,修正,右,14,True
3,4,2,ステー,加工,右,14,True
4,8,1,ブラケット,修正,左,13,True
3,1,1,ステー,取替,左,13,True
1,13,1,ドア,調整,左,13,True
3,4,4,ステー,加工,サイド,13,True
4,2,1,ブラケット,脱着,左,12,True
1,1,6,ドア,取替,前,12,True
3,10,1,ステー,製作,左,12,True
2,12,1,サイドガード,切断,左,12,True
2,12,4,サイドガード,切断,サイド,12,True
5,10,4,パイプ,製作,サイド,12,True
2,2,1,サイドガード,脱着,左,11,True
5,3,2,パイプ,溶接,右,11,True
3,9,1,ステー,曲がり直し,左,11,True
4,4,2,ブラケット,加工,右,11,True
2,10,1,サイドガード,製作,左,11,True
2,15,4,サイドガード,鈑金,サイド,10,True
3,10,2,ステー,製作,右,10,True
2,1,4,サイドガード,取替,サイド,10,True
4,2,2,ブラケット,脱着,右,9,True
2,2,2,サイドガード,脱着,右,9,True
2,3,13,サイドガード,溶接,後,9,True
4,10,2,ブラケット,製作,右,9,True
1,4,6,ドア,加工,前,9,True
1,6,2,ドア,修理,右,9,True
1,7,2,ドア,取付,右,9,True
3,12,1,ステー,切断,左,9,True
5,10,1,パイプ,製作,左,9,True
4,7,2,ブラケット,取付,右,9,True
2,9,1,サイドガード,曲がり直し,左,9,True
2,3,6,サイドガード,溶接,前,9,True
10,2,2,コーナーパネル,脱着,右,8,True
1,2,12,ドア,脱着,内,8,True
4,8,2,ブラケット,修正,右,8,True
3,1,2,ステー,取替,右,8,True
2,27,2,サイドガード,切替,右,8,True
3,2,4,ステー,脱着,サイド,8,True
1,7,1,ドア,取付,左,8,True
4,7,1,ブラケット,取付,左,8,True
5,4,2,パイプ,加工,右,8,True
1,2,1,ドア,脱着,左,8,True
2,1,1,サイドガード,取替,左,8,True
2,9,2,サイドガード,曲がり直し,右,8,True
4,1,2,ブラケット,取替,右,8,True
5,27,2,パイプ,切替,右,7,True
2,7,13,サイドガード,取付,後,7,True
3,3,13,ステー,溶接,後,7,True
3,7,13,ステー,取付,後,7,True
4,4,6,ブラケット,加工,前,7,True
3,15,2,ステー,鈑金,右,7,True
5,12,1,パイプ,切断,左,7,True
1,5,1,ドア,交換,左,7,True
2,15,1,サイドガード,鈑金,左,7,True
1,4,13,ドア,加工,後,7,True
2,4,13,サイドガード,加工,後,7,True
3,12,4,ステー,切断,サイド,7,True
3,9,4,ステー,曲がり直し,サイド,7,True
2,10,2,サイドガード,製作,右,7,True
16,2,22,ファーストステップ,脱着,ファースト,6,True
16,8,22,ファーストステップ,修正,ファースト,6,True
15,8,10,インナーバンパー,修正,インナー,6,True
10,1,2,コーナーパネル,取替,右,6,True
1,15,2,ドア,鈑金,右,6,True
19,2,1,バンパーフィニッシャー,脱着,左,6,True
16,20,22,ファーストステップ,カバー,ファースト,6,True
1,11,1,ドア,点検,左,6,True
4,4,13,ブラケット,加工,後,6,True
1,5,2,ドア,交換,右,6,True
4,9,1,ブラケット,曲がり直し,左,6,True
5,3,6,パイプ,溶接,前,6,True
5,27,6,パイプ,切替,前,6,True
2,8,6,サイドガード,修正,前,6,True
3,27,1,ステー,切替,左,6,True
3,3,6,ステー,溶接,前,6,True
3,27,4,ステー,切替,サイド,6,True
5,12,4,パイプ,切断,サイド,6,True
1,8,1,ドア,修正,左,6,True
4,1,1,ブラケット,取替,左,6,True
1,6,1,ドア,修理,左,6,True
