target_id,action_id,target_name,action_name,frequency,is_recommended
2,3,サイドガード,溶接,123,True
3,3,ステー,溶接,92,True
3,2,ステー,脱着,73,True
1,1,ドア,取替,70,True
3,7,ステー,取付,69,True
5,3,パイプ,溶接,61,True
4,3,ブラケット,溶接,59,True
2,8,サイドガード,修正,54,True
3,4,ステー,加工,53,True
3,8,ステー,修正,53,True
4,4,ブラケット,加工,50,True
4,2,ブラケット,脱着,49,True
2,4,サイドガード,加工,44,True
3,9,ステー,曲がり直し,41,True
5,4,パイプ,加工,39,True
3,1,ステー,取替,38,True
2,7,サイドガード,取付,38,True
1,4,ドア,加工,38,True
4,7,ブラケット,取付,36,True
3,10,ステー,製作,35,True
5,27,パイプ,切替,35,True
1,2,ドア,脱着,34,True
2,27,サイドガード,切替,32,True
4,8,ブラケット,修正,31,True
1,13,ドア,調整,29,True
4,10,ブラケット,製作,27,True
3,15,ステー,鈑金,26,True
4,1,ブラケット,取替,24,True
6,1,燃料タンク,取替,23,True
2,2,サイドガード,脱着,22,True
3,12,ステー,切断,21,True
1,5,ドア,交換,21,True
4,9,ブラケット,曲がり直し,20,True
5,2,パイプ,脱着,20,True
8,1,ホース,取替,20,True
1,8,ドア,修正,20,True
4,12,ブラケット,切断,18,True
4,15,ブラケット,鈑金,17,True
2,10,サイドガード,製作,17,True
1,7,ドア,取付,16,True
1,11,ドア,点検,15,True
4,6,ブラケット,修理,15,True
5,12,パイプ,切断,15,True
1,6,ドア,修理,15,True
5,10,パイプ,製作,15,True
2,9,サイドガード,曲がり直し,14,True
10,2,コーナーパネル,脱着,13,True
5,1,パイプ,取替,13,True
21,20,マフラーカバー,カバー,12,True
5,7,パイプ,取付,12,True
2,12,サイドガード,切断,12,True
6,2,燃料タンク,脱着,11,True
24,20,タイヤハウスカバー,カバー,11,True
1,15,ドア,鈑金,11,True
10,1,コーナーパネル,取替,10,True
2,15,サイドガード,鈑金,10,True
3,27,ステー,切替,10,True
9,7,ハンドル,取付,10,True
2,1,サイドガード,取替,10,True
9,4,ハンドル,加工,9,True
40,20,エンジン,カバー,8,True
1,9,ドア,曲がり直し,8,True
9,3,ハンドル,溶接,8,True
8,4,ホース,加工,8,True
32,20,アンダーカバー,カバー,7,True
4,5,ブラケット,交換,7,True
10,9,コーナーパネル,曲がり直し,7,True
8,2,ホース,脱着,7,True
9,1,ハンドル,取替,7,True
5,8,パイプ,修正,7,True
6,4,燃料タンク,加工,7,True
9,2,ハンドル,脱着,7,True
3,6,ステー,修理,7,True
24,2,タイヤハウスカバー,脱着,6,True
34,20,エンジンカバー,カバー,6,True
16,2,ファーストステップ,脱着,6,True
16,8,ファーストステップ,修正,6,True
15,8,インナーバンパー,修正,6,True
19,2,バンパーフィニッシャー,脱着,6,True
16,20,ファーストステップ,カバー,6,True
25,1,マッドガード,取替,6,True
12,1,ブレーキ,取替,6,True
23,4,バッテリー,加工,6,True
9,10,ハンドル,製作,6,True
15,1,インナーバンパー,取替,5,True
15,23,インナーバンパー,引出し,5,True
29,1,ロアフェンダー,取替,5,True
12,3,ブレーキ,溶接,5,True
37,2,ホイールカバー,脱着,5,True
37,20,ホイールカバー,カバー,5,True
18,2,アッパーフェンダー,脱着,5,True
17,1,フロントバンパー,取替,5,True
6,8,燃料タンク,修正,5,True
6,12,燃料タンク,切断,5,True
23,1,バッテリー,取替,5,True
12,5,ブレーキ,交換,5,True
8,5,ホース,交換,5,True
6,5,燃料タンク,交換,4,True
38,20,エンドカバー,カバー,4,True
29,8,ロアフェンダー,修正,4,True
3,17,ステー,付替,4,True
