id,name,frequency,sort_order,is_active,category
1,ドア,239,1,True,対象
2,ステー,218,2,True,対象
3,ブラケット,165,3,True,対象
4,バンパー,151,4,True,対象
5,ガード,145,5,True,対象
6,ゴム,117,6,True,対象
7,ランプ,114,7,True,対象
8,パイプ,108,8,True,対象
9,キャッチ,103,9,True,対象
10,フェンダー,89,10,True,対象
11,ミラー,76,11,True,対象
12,ウィング,75,12,True,対象
13,ステップ,73,13,True,対象
14,タンク,71,14,True,対象
15,カバー,69,15,True,対象
16,パネル,67,16,True,対象
17,反射板,59,17,True,対象
18,シート,59,18,True,対象
19,ホース,45,19,True,対象
20,ハンドル,43,20,True,対象
21,鋼板,39,21,True,対象
22,メンバー,30,22,True,対象
23,レール,26,23,True,対象
24,タイヤ,22,24,True,対象
25,ライト,19,25,True,対象
26,ヒンジ,17,26,True,対象
27,グリル,16,27,True,対象
28,センサー,13,28,True,対象
29,フィニッシャー,11,29,True,対象
30,ホイール,7,30,True,対象
31,ガーニッシュ,4,31,True,対象
32,ガラス,3,32,True,対象
