word,reading_hiragana,reading_katakana,word_type,normalized
タイヤ,たいや,タイヤ,target,タイヤ
ホイール,ほいーる,ホイール,target,ホイール
ブレーキパッド,ぶれーきぱっど,ブレーキパッド,target,ブレーキパッド
ライト,らいと,ライト,target,ライト
バンパー,ばんぱー,バンパー,target,バンパー
エンジンオイル,えんじんおいる,エンジンオイル,target,エンジンオイル
交換,こうかん,コウカン,action,交換
脱着,だっちゃく,ダッチャク,action,脱着
取付,とりつけ,トリツケ,action,取付
修理,しゅうり,シュウリ,action,修理
調整,ちょうせい,チョウセイ,action,調整
点検,てんけん,テンケン,action,点検
清掃,せいそう,セイソウ,action,清掃
溶接,ようせつ,ヨウセツ,action,溶接
張替,はりかえ,ハリカエ,action,張替
塗装,とそう,トソウ,action,塗装
研磨,けんま,ケンマ,action,研磨
補修,ほしゅう,ホシュウ,action,補修
右,みぎ,ミギ,position,右
左,ひだり,ヒダリ,position,左
前,まえ,マエ,position,前
後,うしろ,ウシロ,position,後
右前,みぎまえ,ミギマエ,position,右前
左前,ひだりまえ,ヒダリマエ,position,左前
右後,みぎうしろ,ミギウシロ,position,右後
左後,ひだりうしろ,ヒダリウシロ,position,左後
左右,さゆう,サユウ,position,左右
前後,ぜんご,ゼンゴ,position,前後
内側,うちがわ,ウチガワ,position,内側
外側,そとがわ,ソトガワ,position,外側
中央,ちゅうおう,チュウオウ,position,中央
