target_name,action_name,position_name,memo,unit_price,quantity,raw_label,task_type
タイヤ,交換,右前,夏タイヤから冬タイヤへ交換,6500,1,タイヤ交換 右前,structured
タイヤ,交換,左前,夏タイヤから冬タイヤへ交換,6500,1,タイヤ交換 左前,structured
タイヤ,交換,右後,夏タイヤから冬タイヤへ交換,6500,1,タイヤ交換 右後,structured
タイヤ,交換,左後,夏タイヤから冬タイヤへ交換,6500,1,タイヤ交換 左後,structured
タイヤ,点検,左右,空気圧測定・溝深さ確認,1200,1,タイヤ点検,structured
ホイール,脱着,右前,アルミホイール脱着・清掃,3500,1,ホイール脱着 右前,structured
ホイール,脱着,左前,アルミホイール脱着・清掃,3500,1,ホイール脱着 左前,structured
ホイール,清掃,左右,ホイール洗浄・研磨,2800,1,ホイール清掃,structured
ブレーキパッド,交換,右前,フロントブレーキパッド交換,8500,1,ブレーキパッド交換,structured
ブレーキパッド,交換,左前,フロントブレーキパッド交換,8500,1,ブレーキパッド交換,structured
ブレーキディスク,研磨,左右,ディスク研磨・面取り,12000,1,ブレーキディスク研磨,structured
ライト,交換,右,ヘッドライトバルブ交換,4500,1,ヘッドライト交換,structured
ライト,交換,左,ヘッドライトバルブ交換,4500,1,ヘッドライト交換,structured
ライト,調整,左右,光軸調整作業,2200,1,ライト光軸調整,structured
バンパー,修理,,フロントバンパー割れ修理,18000,1,バンパー修理,structured
バンパー,塗装,,バンパー全塗装,25000,1,バンパー塗装,structured
コーナーパネル,修理,右前,右フロント小さな凹み修理,15000,1,コーナーパネル修理,structured
コーナーパネル,塗装,右前,部分塗装,8000,1,パネル塗装,structured
エンジンオイル,交換,,エンジンオイル・フィルター交換,5500,1,オイル交換,structured
ATF,交換,,オートマオイル交換,12000,1,ATF交換,structured
バッテリー,交換,,バッテリー本体交換,15000,1,バッテリー交換,structured
バッテリー,点検,,バッテリー電圧・比重測定,800,1,バッテリー点検,structured
エアフィルター,交換,,エアクリーナーエレメント交換,3500,1,エアフィルター交換,structured
スパークプラグ,交換,,点火プラグ4本交換,8000,4,プラグ交換,structured
ベルト,交換,,ファンベルト交換,4500,1,ベルト交換,structured
ワイパー,交換,前,フロントワイパーブレード交換,2800,2,ワイパー交換,structured
マフラー,修理,,マフラー溶接修理,12000,1,マフラー修理,structured
サスペンション,修理,右前,右フロントサス修理,35000,1,サス修理,structured
ショック,交換,右後,リアショック交換,18000,1,ショック交換,structured
