set_name,target_name,action_name,position_name,memo,sort_order
車検整備一式,タイヤ,点検,,タイヤ空気圧チェック,1
車検整備一式,ライト,点検,前後,前照灯・尾灯点検,2
車検整備一式,バンパー,点検,,外観点検,3
車検整備一式,フラッシャー,点検,左右,ウインカー動作確認,4
タイヤ交換セット,タイヤ,脱着,右前,右前タイヤ脱着,1
タイヤ交換セット,タイヤ,脱着,左前,左前タイヤ脱着,2
タイヤ交換セット,タイヤ,脱着,右後,右後タイヤ脱着,3
タイヤ交換セット,タイヤ,脱着,左後,左後タイヤ脱着,4
タイヤ交換セット,タイヤ,交換,右前,右前タイヤ交換,5
タイヤ交換セット,タイヤ,交換,左前,左前タイヤ交換,6
タイヤ交換セット,タイヤ,交換,右後,右後タイヤ交換,7
タイヤ交換セット,タイヤ,交換,左後,左後タイヤ交換,8
ヘッドライト調整セット,ライト,調整,右,右ヘッドライト光軸調整,1
ヘッドライト調整セット,ライト,調整,左,左ヘッドライト光軸調整,2
ヘッドライト調整セット,ライト,点検,前後,照明点検,3
板金塗装セット,コーナーパネル,脱着,右前,右前パネル脱着,1
板金塗装セット,コーナーパネル,修理,右前,右前パネル板金修理,2
板金塗装セット,コーナーパネル,塗装,右前,右前パネル塗装,3
板金塗装セット,バンパー,修理,,バンパー修理,4
板金塗装セット,バンパー,塗装,,バンパー塗装,5
内装張替セット,ライニング,張替,右,右側内装張替,1
内装張替セット,ライニング,張替,左,左側内装張替,2
内装張替セット,ライニング,清掃,左右,内装清掃,3
定期点検セット,タイヤ,点検,左右,タイヤ点検,1
定期点検セット,ライト,点検,前後,照明系点検,2
定期点検セット,フラッシャー,点検,左右,ウインカー点検,3
定期点検セット,バンパー,点検,,外観点検,4
