id,invoice_id,line_no,sub_no,raw_label_part,action1,action2,action3,target,position1,position2,position3,position4,position5,raw_label,unit_price,quantity,amount,other,set_name,is_cancelled,confidence_score,extraction_method,notes,created_at,updated_at
0,21101290-1,1,1,踊場縞鋼板脱着・曲がり直し バッテリー上側,脱着,曲がり直し,,踊場縞鋼板,,,,,,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,9000.0,1.0,9000.0,バッテリー上側,バッテリー踊場整備,False,,,,2025/10/22,2025/10/22
1,21101290-1,1,2,蝶番脱着・調整,脱着,調整,,蝶番,,,,,,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,9000.0,1.0,9000.0,,バッテリー踊場整備,False,,,,2025/10/22,2025/10/22
2,21101290-1,1,3,ストライカー調整・加工 曲がり・異音止め,調整,加工,,ストライカー,,,,,,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,9000.0,1.0,9000.0,曲がり・異音止め,バッテリー踊場整備,False,,,,2025/10/22,2025/10/22
3,21101291-1,1,1,ヒーターパイプ溶接 応急,溶接,,,ヒーターパイプ,,,,,,ヒーターパイプ応急溶接,3000.0,1.0,3000.0,応急,,False,,,,2025/10/22,2025/10/22
4,21111292-1,1,1,ヒーターパイプ溶接 応急,溶接,,,ヒーターパイプ,,,,,,ヒーターパイプ応急溶接,3000.0,1.0,3000.0,応急,,False,,,,2025/10/22,2025/10/22
5,21111293-1,1,1,右ドア研磨・仕上げ,研磨,仕上げ,,ドア,右,,,,,右ドアー研磨仕上げ,3000.0,1.0,3000.0,,,False,,,,2025/10/22,2025/10/22
6,21111293-2,1,1,左蝶番脱着・調整 観音扉,脱着,調整,,蝶番,左,,,,,左観音扉蝶番脱着調整,2000.0,1.0,2000.0,観音扉,,False,,,,2025/10/22,2025/10/22
7,21111293-2,2,1,左ドア内張り脱着,脱着,,,ドア内張り,左,,,,,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,12000.0,1.0,12000.0,,ドア部品脱着,False,,,,2025/10/22,2025/10/22
8,21111293-2,2,2,レギュレター脱着,脱着,,,レギュレター,,,,,,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,12000.0,1.0,12000.0,,ドア部品脱着,False,,,,2025/10/22,2025/10/22
9,21111293-2,2,3,ラッチ脱着,脱着,,,ラッチ,,,,,,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,12000.0,1.0,12000.0,,ドア部品脱着,False,,,,2025/10/22,2025/10/22
10,21111293-2,2,4,サッシュ脱着,脱着,,,サッシュ,,,,,,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,12000.0,1.0,12000.0,,ドア部品脱着,False,,,,2025/10/22,2025/10/22
11,21111293-2,2,5,アウターハンドル脱着,脱着,,,アウターハンドル,,,,,,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,12000.0,1.0,12000.0,,ドア部品脱着,False,,,,2025/10/22,2025/10/22
