invoice_id,invoice_month,invoice_date,customer_name,subject,registration_number,発注番号,order_number,subtotal,tax_amount,total_amount
21101290-1,2111,2021-11-04,UDトラックス株式会社,鶴丸海運株式会社,北九州130か･901,1700405693,10075300,9900,900,9900
21101291-1,2111,2021-11-04,UDトラックス株式会社,新手運輸有限会社,北九州100か6203,1700405668,10075760,3300,300,3300
21111292-1,2111,2021-11-04,UDトラックス株式会社,新手運輸有限会社,北九州100か6063,1700405668,10075760,3300,300,3300
21111293-1,2111,2021-11-04,UDトラックス株式会社,東洋物産株式会社,北九州30を8800,1700405677,10075242,3300,300,3300
21111293-2,2111,2021-11-04,UDトラックス株式会社,株式会社松本組,北九州130う2020,1700405674,10075195,15400,1400,15400
21111294-1,2111,2021-11-07,UDトラックス株式会社,株式会社松本組,北九州100き2688,1700405699,10075331,62700,5700,62700
21111295-1,2111,2021-11-07,UDトラックス株式会社,有限会社行橋鎮西運送,北九州100あ5197,1700405711,10075376,55000,5000,55000
21111296-1,2111,2021-11-07,UDトラックス株式会社,有限会社SONEKIN　WORKS,北九州100え3783,1700405706,10075348,11550,1050,11550
21111297-1,2111,2021-11-07,UDトラックス株式会社,株式会社ケイティトランスポート,筑豊830あ1312,1700405700,10075337,1100,100,1100
21111298-1,2111,2021-11-16,UDトラックス株式会社,株式会社東西運輸,北九州100え･375,1700405794,10075594,8800,800,8800
21111299-1,2111,2021-11-16,UDトラックス株式会社,平和物流株式会社,北九州100か7660,1700405773,10075562,4400,400,4400
21111300-1,2111,2021-11-16,UDトラックス株式会社,有限会社井手梱包,北九州100き1476,1700405792,10075621,2200,200,2200
21111301-1,2111,2021-11-11,UDトラックス株式会社,株式会社バンテック九州,北九州100え3762,1700405743,10075471,19800,1800,19800
21111302-1,2111,2021-11-11,UDトラックス株式会社,株式会社バンテック九州,北九州100え3667,1700405742,10075437,3300,300,3300
21111303-1,2111,2021-11-11,UDトラックス株式会社,KD物流株式会社,北九州130え･510,1700405746,10075419,17600,1600,17600
21111304-1,2111,2021-11-11,UDトラックス株式会社,株式会社豊田興業,北九州132く･･88,1700405745,10075420,19800,1800,19800
21111305-1,2111,2021-11-13,UDトラックス株式会社,パッシブル有限会社,北九州132を･･10,17004057688,10075556,11000,1000,11000
21111306-1,2111,2021-11-13,UDトラックス株式会社,パッシブル有限会社,北九州132を･･10,1700405768,10075556,11000,1000,11000
21111307-1,2111,2021-11-13,UDトラックス株式会社,有限会社井手梱包,北九州100き･273,1700405775,10075568,13200,1200,13200
21111307-2,2111,2021-11-13,UDトラックス株式会社,平和物流株式会社,k北九州100か9892,1700405751,10075509,3300,300,3300
21111308-1,2111,2021-11-19,UDトラックス株式会社,鶴丸海運株式会社,北九州100こ2222,1700405822,10075693,18700,1700,18700
21111309-1,2111,2021-11-19,UDトラックス株式会社,鶴丸海運株式会社,北九州130あ2568,1700405816,10075394,122100,11100,122100
21111310-1,2111,2021-11-17,UDトラックス株式会社,東洋物産株式会社,北九州130あ3579,1700405799,10075606,3300,300,3300
21111311-1,2111,2021-11-17,UDトラックス株式会社,株式会社バンテック九州,北九州100え3777,1700405796,10075351,5500,500,5500
21111312-1,2111,2021-11-17,UDトラックス株式会社,田村運輸株式会社,宇都宮100か9957,1700405798,10075641,5500,500,5500
21111313-1,2111,2021-11-17,UDトラックス株式会社,株式会社サクラ物流,北九州130い･812,1700405800,10075645,19800,1800,19800
21111314-1,2111,2021-11-18,UDトラックス株式会社,有限会社双葉商会,筑豊100は1344,1700405804,10074562,16500,1500,16500
21111315-1,2111,2021-11-21,UDトラックス株式会社,菊竹産業株式会社,北九州100か9458,1700405778,10075586,39600,3600,39600
21111316-1,2111,2021-11-21,UDトラックス株式会社,有限会社行橋鎮西運送,北九州100あ5197,1700405824,10075695,112200,10200,112200
21111317-1,2111,2021-11-25,UDトラックス株式会社,豊運輸株式会社,北九州130あ9690,1700405848,10075515,16500,1500,16500
21111318-1,2111,2021-11-25,UDトラックス株式会社,北九州ダイキュー運輸株式会社,北九州130い427,1700405846,10075791,2200,200,2200
21111319-1,2111,2021-11-22,UDトラックス株式会社,有限会社行橋鎮西運送,北九州100あ5081,1700405842,10075763,28600,2600,28600
21111320-1,2111,2021-11-22,UDトラックス株式会社,鶴丸海運株式会社,k北九州130か3002,1700405823,10075694,92400,8400,92400
21111321-1,2111,2021-11-26,UDトラックス株式会社,株式会社バンテック,北九州100え･382,1700405857,10075759,15400,1400,15400
21111322-1,2111,2021-11-26,UDトラックス株式会社,株式会社清翔産業,北九州130い700,1700405855,10075804,3300,300,3300
21111323-1,2111,2021-11-26,UDトラックス株式会社,株式会社バンテック九州,北九州100え3533,1700405859,10075819,66000,6000,66000
