name,name_norm,basic_part,count,example
ガード,ガード,ガード,324,"左右サイドガード亀裂溶接4ヶ所"
左サイドガード,左サイドガード,ガード,132,"左サイドガード脱着"
右サイドガード,右サイドガード,ガード,56,"右サイドガード折損部修正取付溶接"
サイドガード,サイドガード,ガード,36,"サイドガードマフラーカバー曲がり直し"
左右サイドガード,左右サイドガード,ガード,30,"左右サイドガード亀裂溶接4ヶ所"
マッドガード,マッドガード,ガード,7,"マッドガード加工"
右後ろサイドガード,右後ろサイドガード,ガード,4,"右後ろサイドガード溶接"
左後ろサイドガード,左後ろサイドガード,ガード,4,"左後ろサイドガードステー折損部落下防止ステー製作応急取付加工"
コーナーガード,コーナーガード,ガード,4,"コーナーガードリベット止め取付加工"
左マッドガード,左マッドガード,ガード,3,"左マッドガード取替修正"
右マッドガード,右マッドガード,ガード,2,"右マッドガード脱着"
バックガード,バックガード,ガード,2,"バックガード脱着2枚"
ガード塗装,ガード塗装,ガード,2,"左右サイドガード塗装"
左右フロントマッドガード,左右フロントマッドガード,ガード,2,"左右フロントマッドガードゴム取替加工"
右前サイドガード,右前サイドガード,ガード,2,"右前サイドガードステー折損溶接"
ステンサイドガード,ステンサイドガード,ガード,2,"ステンサイドガード折損修正ステン溶接2カ所"
ガード交換,ガード交換,ガード,2,"左フェンダーマッドガード交換"
左マットガード,左マットガード,ガード,1,"左マットガード脱着"
左前サイドガード,左前サイドガード,ガード,1,"左前サイドガードステー修正タップ掛けボルト取付"
バス型サイドガード,バス型サイドガード,ガード,1,"バス型サイドガードボルト取付"
ガードボルト取付,ガードボルト取付,ガード,1,"バス型サイドガードボルト取付"
右泥除けステンガード,右泥除けステンガード,ガード,1,"右泥除けステンガード枠折損部修正ステン溶接"
ガードピン取付,ガードピン取付,ガード,1,"左サイドガードピン取付"
耐熱ガード,耐熱ガード,ガード,1,"耐熱ガード切断脱着ステン溶接"
左右パイプサイドガード,左右パイプサイドガード,ガード,1,"左右パイプサイドガード6本製作取付加工"
右ステンサイドガード,右ステンサイドガード,ガード,1,"右ステンサイドガード3番ステー脱着"
ガード前,ガード前,ガード,1,"右サイドガード前３ヶ所亀裂溶接"
左後ろ泥除けガード,左後ろ泥除けガード,ガード,1,"左後ろ泥除けガード折損部修正ステン溶接"
ガード折損応急ステン穴,ガード折損応急ステン穴,ガード,1,"右後ろサイドガード折損応急ステン穴掘りステー制作取付加工"
ガード腐食部分,ガード腐食部分,ガード,1,"左サイドガード腐食部分３ヶ所パイプ切替加工溶接"
左前ステンサイドガード,左前ステンサイドガード,ガード,1,"左前ステンサイドガード折損修正ステン溶接"
スプラッシュガード,スプラッシュガード,ガード,1,"スプラッシュガード取替"
右配線ガード,右配線ガード,ガード,1,"右配線ガード脱着鈑金"
左ステンサイドガード,左ステンサイドガード,ガード,1,"左ステンサイドガードステー折損修正溶接"
鳥居ガード,鳥居ガード,ガード,1,"鳥居ガードゴム表裏反転取付加工"
鳥居左右アルミガード,鳥居左右アルミガード,ガード,1,"鳥居左右アルミガード版破損部分鈑金アルミ板貼付加工"
ガードライトゲージコー,ガードライトゲージコー,ガード,1,"右サイドガードライトゲージコーナー製作取付溶接"
右アルミサイドガード,右アルミサイドガード,ガード,1,"右アルミサイドガードASSY取替加工"
右バス型サイドガード,右バス型サイドガード,ガード,1,"右バス型サイドガード脱着"
ガード突っ張り棒,ガード突っ張り棒,ガード,1,"左サイドガード突っ張り棒２本取替溶接"
左バス型サイドガード,左バス型サイドガード,ガード,1,"左バス型サイドガードステップボルト2本取替加工"
左ケーブルガード,左ケーブルガード,ガード,1,"左ケーブルガード脱着加工"
右ケーブルガード,右ケーブルガード,ガード,1,"右ケーブルガード脱着加工"
配線ガード,配線ガード,ガード,1,"配線ガード脱着"
ガード付替,ガード付替,ガード,1,"左サイドガード付替"
左右マッドガード,左右マッドガード,ガード,1,"左右マッドガード交換"
ガードASSY交換,ガードASSY交換,ガード,1,"右サイドガードASSY交換"
ガード鈑金塗装,ガード鈑金塗装,ガード,1,"サイドガード鈑金塗装"
左ステンレスサイドガード,左ステンレスサイドガード,ガード,1,"左ステンレスサイドガード脱着曲がり直し"
カバー,カバー,カバー,241,"安全ガラスアウターカバー脱着異音防止加工"
エンジンカバー,エンジンカバー,カバー,11,"エンジンカバー脱着"
カバー取付,カバー取付,カバー,10,"マフラーカバー取付"
カバー交換,カバー交換,カバー,10,"カバー交換"
アンダーカバー,アンダーカバー,カバー,9,"アンダーカバー取替"
コーナーカバー,コーナーカバー,カバー,8,"コーナーカバー取替"
タイヤハウスカバー,タイヤハウスカバー,カバー,7,"タイヤハウスカバー脱着"
エンドカバー,エンドカバー,カバー,7,"エンドカバー取替え"
マフラーカバー,マフラーカバー,カバー,6,"マフラーカバー取付"
左コーナーカバー,左コーナーカバー,カバー,5,"左コーナーカバー取替"
左ステップカバー,左ステップカバー,カバー,5,"左ステップカバー取替"
ガードカバー,ガードカバー,カバー,5,"ガードカバー"
フェンダーカバー,フェンダーカバー,カバー,5,"フェンダーカバー交換"
ホイールカバー,ホイールカバー,カバー,5,"ホイールカバー全軸脱着"
メッキカバー,メッキカバー,カバー,4,"メッキカバー取替"
メッキミラーカバー,メッキミラーカバー,カバー,3,"メッキミラーカバー付替え加工"
