id,invoice_id,line_no,sub_no,raw_label_part,action,target,unit_price,quantity,amount,is_cancelled,confidence_score,extraction_method,notes,created_at,updated_at,record_type,raw_label_full,set_name,other,is_latest
1,21111292-1,1,0,バッテリー上側踊場縞鋼板脱着曲がり直し 他（3点）,脱着,,9000,1,9000,false,0.90,自動変換,,,,set_parent,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,バッテリー上側踊場縞鋼板脱着曲がり直し 他（3点）,,true
2,21111292-1,1,1,バッテリー上側踊場縞鋼板脱着曲がり直し,曲がり直し・脱着,バッテリー,,1,,false,0.90,自動変換,,,,set_child,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,バッテリー上側踊場縞鋼板脱着曲がり直し 他（3点）,,true
3,21111292-1,1,2,蝶番脱着調整,脱着・調整,,,1,,false,0.90,自動変換,,,,set_child,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,バッテリー上側踊場縞鋼板脱着曲がり直し 他（3点）,,true
4,21111292-1,1,3,ストライカー曲がり調整異音止め加工,加工・調整,,,1,,false,0.90,自動変換,,,,set_child,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,バッテリー上側踊場縞鋼板脱着曲がり直し 他（3点）,,true
5,21111293-1,1,1,ヒーターパイプ応急溶接,溶接,パイプ,3000,1,3000,false,0.90,自動変換,,,,individual,ヒーターパイプ応急溶接,,,true
6,21111293-2,1,1,ヒーターパイプ応急溶接,溶接,パイプ,3000,1,3000,false,0.90,自動変換,,,,individual,ヒーターパイプ応急溶接,,,true
7,21111294-1,1,1,右ドアー研磨仕上げ,仕上げ・研磨,ドア,3000,1,3000,false,0.90,自動変換,,,,individual,右ドアー研磨仕上げ,,,true
8,21111295-1,1,1,左観音扉蝶番脱着調整,脱着・調整,,2000,1,2000,false,0.90,自動変換,,,,individual,左観音扉蝶番脱着調整,,,true
9,21111295-1,2,0,左ドアー内張り脱着 他（6点）,脱着,,12000,1,12000,false,0.90,自動変換,,,,set_parent,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,左ドアー内張り脱着 他（6点）,,true
10,21111295-1,2,1,左ドアー内張り脱着,脱着,ドア,,1,,false,0.90,自動変換,,,,set_child,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,左ドアー内張り脱着 他（6点）,,true
11,21111295-1,2,2,レギュレター脱着,脱着,,,1,,false,0.90,自動変換,,,,set_child,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,左ドアー内張り脱着 他（6点）,,true
12,21111295-1,2,3,ラッチ脱着,脱着,,,1,,false,0.90,自動変換,,,,set_child,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,左ドアー内張り脱着 他（6点）,,true
13,21111295-1,2,4,サッシュ脱着,脱着,,,1,,false,0.90,自動変換,,,,set_child,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,左ドアー内張り脱着 他（6点）,,true
14,21111295-1,2,5,アウターハンドル脱着,脱着,ハンドル,,1,,false,0.90,自動変換,,,,set_child,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,左ドアー内張り脱着 他（6点）,,true
15,21111295-1,2,6,安全ガラスアウターカバー脱着異音防止加工,カバー・加工・脱着,,,1,,false,0.90,自動変換,,,,set_child,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,左ドアー内張り脱着 他（6点）,,true
16,21111296-1,1,0,右サニーホース取り外し加工 他（2点）,加工,,12000,1,12000,false,0.90,自動変換,,,,set_parent,右サニーホース取り外し、押えボルト折れ込み取替加工２本,右サニーホース取り外し加工 他（2点）,,true
