請求書番号,請求月,請求日,請求先,件名,登録番号,発注番号,オーダー番号,小計,消費税,請求金額,品名1,,単価1,金額1,品名2,数量2,単価2,金額2,品名3,数量3,単価3,金額3,品名4,数量4,単価4,金額4,品名5,数量5,単価5,金額5,品名6,数量6,単価6,金額6,品名7,数量7,単価7,金額7,品名8,数量8,単価8,金額8,品名9,数量9,単価9,金額9,品名10,数量10,単価10,金額10,品名11,数量11,単価11,金額11,品名12,数量12,単価12,金額12,品名13,数量13,単価13,金額13,品名14,数量14,単価14,金額14,品名15,数量15,単価15,金額15,品名16,数量16,単価16,金額16,品名17,数量17,単価17,金額17,品名18,数量18,単価18,金額18,品名19,数量19,単価19,金額19,品名20,数量20,単価20,金額20,品名21,数量21,単価21,金額21,品名22,数量22,単価22,金額22,品名23,数量23,単価23,金額23,品名24,数量24,単価24,金額24,品名25,数量25,単価25,金額25,品名26,数量26,単価26,金額26,品名27,数量27,単価27,金額27,品名28,数量28,単価28,金額28,品名29,数量29,単価29,金額29,品名30,数量30,単価30,金額30,品名31,数量31,単価31,金額31,品名32,数量32,単価32,金額32,備考,見積32,予備32
21101290-1,2111,2021/11/4,UDトラックス株式会社,鶴丸海運株式会社,北九州130か･901,1700405693 ,10075300 ,9900 ,900 ,9900 ,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,,9000 ,9000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21101291-1,2111,2021/11/4,UDトラックス株式会社,新手運輸有限会社,北九州100か6203,1700405668 ,10075760 ,3300 ,300 ,3300 ,ヒーターパイプ応急溶接,,3000 ,3000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21111292-1,2111,2021/11/4,UDトラックス株式会社,新手運輸有限会社,北九州100か6063,1700405668 ,10075760 ,3300 ,300 ,3300 ,ヒーターパイプ応急溶接,,3000 ,3000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21111293-1,2111,2021/11/4,UDトラックス株式会社,東洋物産株式会社,北九州30を8800,1700405677 ,10075242 ,3300 ,300 ,3300 ,右ドアー研磨仕上げ,,3000 ,3000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21111293-2,2111,2021/11/4,UDトラックス株式会社,株式会社松本組,北九州130う2020,1700405674 ,10075195 ,15400 ,1400 ,15400 ,左観音扉蝶番脱着調整,,2000 ,2000 ,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,1,12000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21111294-1,2111,2021/11/7,UDトラックス株式会社,株式会社松本組,北九州100き2688,1700405699 ,10075331 ,62700 ,5700 ,62700 ,右サニーホース取り外し、押えボルト折れ込み取替加工２本,,12000 ,12000 ,右コボレーンシャフト曲がり直し、補修塗装,1,45000,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21111295-1,2111,2021/11/7,UDトラックス株式会社,有限会社行橋鎮西運送,北九州100あ5197,1700405711 ,10075376 ,55000 ,5000 ,55000 ,右ウイングシート下側脱着張替,,12000 ,12000 ,右ウイング枠骨ステー腐食部分切断付け替え溶接、補強リブ制作取付、枠曲がり直し、枠腐食部分切断フラットバー切替溶接,1,38000,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21111296-1,2111,2021/11/7,UDトラックス株式会社,有限会社SONEKIN　WORKS,北九州100え3783,1700405706 ,10075348 ,11550 ,1050 ,11550 ,反射板ステー曲がり直し,,4000 ,4000 ,左右反射板取替、リベット打ち換え,1,6500,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21111297-1,2111,2021/11/7,UDトラックス株式会社,株式会社ケイティトランスポート,筑豊830あ1312,1700405700 ,10075337 ,1100 ,100 ,1100 ,マフラーカバー取付,,1000 ,1000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21111298-1,2111,2021/11/16,UDトラックス株式会社,株式会社東西運輸,北九州100え･375,1700405794 ,10075594 ,8800 ,800 ,8800 ,左右サイドガード亀裂溶接4ヶ所,,8000 ,8000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
