name,name_norm,is_active,count,example
取替,取替,true,1334,押えボルト折れ込み取替加工2本
脱着,脱着,true,1135,バッテリー上側踊場縞鋼板脱着曲がり直し
加工,加工,true,899,ストライカー曲がり調整異音止め加工
溶接,溶接,true,733,ヒーターパイプ応急溶接
取付,取付,true,627,補強リブ制作取付
修正,修正,true,578,右サイドガード折損部修正取付溶接
切断,切断,true,291,右ウイング枠骨ステー腐食部分切断付け替え溶接
曲がり直し,曲がり直し,true,258,バッテリー上側踊場縞鋼板脱着曲がり直し
鈑金,鈑金,true,253,タイコマフラー後ろ差し込み口鈑金
塗装,塗装,true,210,補修塗装
取り外し,取り外し,true,169,右サニーホース取り外し
点検,点検,true,142,アンダーミラー点検応急貼付
張替,張替,true,132,右ウイングシート下側脱着張替
調整,調整,true,119,蝶番脱着調整
貼付,貼付,true,67,アンダーミラー点検応急貼付
打替,打替,true,58,幌骨差込口脱着6ミリリベット打替え
錆止め,錆止め,true,47,インナーパネル錆止め塗装
仕上げ,仕上げ,true,21,右ドアー研磨仕上げ
固定,固定,true,20,左右3ヶ所イコライザーロックピン修正ロック切断固定溶接
面取り,面取り,true,9,右フェンダーカバー傷面取り仕上
