name,name_norm,is_active,count,example
前,前,true,181,左前ウィングキャッチ取替
フロント,フロント,true,143,フロントバンパー右異音点検
前右,前右,true,1,左前右後ろアーム亀裂カット溶接2カ所
前左,前左,true,4,鳥居前左右6カ所ロープフック取付溶接
後,後,true,204,右後ろサイドガード溶接
リア,リア,true,10,左右リアフェンダー脱着
後左,後左,true,6,ウィング枠前後左右4ヶ所蝶番ブラケット取替加工
左,左,true,1278,左観音扉蝶番脱着調整
右,右,true,1128,右ドアー研磨仕上げ
内,内,true,38,左ドアー内張り脱着
外,外,true,175,右サニーホース取り外し
上,上,true,57,バッテリー上側踊場縞鋼板脱着曲がり直し
下,下,true,57,右ウイングシート下側脱着張替
運転席,運転席,true,2,運転席側シートクッション取替
助手席,助手席,true,5,助手席脱着
センター,センター,true,56,センター泥除けゴムブラケット取外し取替
中央,中央,true,21,中央前側床板張替段付き加工
前側,前側,true,36,コボレーン前側枠骨折損部ステンリブ入れ溶接
