name,name_norm,is_active,count,example
左,左,true,1237,左観音扉蝶番脱着調整
右,右,true,1049,右ドアー研磨仕上げ
サイド,サイド,true,355,左右サイドガード亀裂溶接4ヶ所
外,外,true,175,右サニーホース取り外し
前,前,true,160,右ウイング前枠骨切断脱着鈑金
後,後,true,144,タイコマフラー後ろ差し込み口鈑金
フロント,フロント,true,143,フロントバンパー右異音点検
コーナー,コーナー,true,142,左コーナーカバー取替
穴,穴,true,99,パイプ応急穴埋め溶接
下,下,true,57,右ウイングシート下側脱着張替
センター,センター,true,56,センター泥除けゴムブラケット取外し取替
上,上,true,52,バッテリー上側踊場縞鋼板脱着曲がり直し
取付部,取付部,true,43,取付部分修正
内,内,true,38,左ドアー内張り脱着
角,角,true,24,スタンション角パイプ2本取付溶接
中央,中央,true,21,中央前側床板張替段付き加工
荷台,荷台,true,18,荷台上段レール修正溶接仕上げ
裏,裏,true,12,裏鋼板切替接着加工
表,表,true,11,リヤ鋼板表裏亀裂カット溶接16カ所
リア,リア,true,10,左右リアフェンダー脱着
横,横,true,10,後ろ横根太折損部修正
中間,中間,true,10,中間ホース取替
助手席,助手席,true,5,助手席脱着
運転席,運転席,true,2,運転席側シートクッション取替
取付穴,取付穴,true,4,煽り蝶番ピン取付穴掘り加工３本
取付位置,取付位置,false,1,左側取付位置修正
差込口,差込口,false,1,幌骨差込口脱着６ミリリベット打替え
フレーム側,フレーム側,false,1,フレーム側ボルト折れ込み取外し加工

