name,name_norm,is_active,count,example
ボルト,ボルト,true,364,押えボルト折れ込み取替加工２本
ステー,ステー,true,353,右ウイング枠骨ステー腐食部分切断付け替え溶接
ガード,ガード,true,324,左右サイドガード亀裂溶接4ヶ所
ドア,ドア,true,316,右ドアー研磨仕上げ
ブラケット,ブラケット,true,262,左ウイング後ろウイングキャッチブラケット折損部補強リブ取付加工
バンパー,バンパー,true,251,フロントバンパー右異音点検
カバー,カバー,true,241,安全ガラスアウターカバー脱着異音防止加工
パイプ,パイプ,true,158,ヒーターパイプ応急溶接
ミラー,ミラー,true,122,アンダーミラー点検応急貼付
蝶番,蝶番,true,91,蝶番脱着調整
ライト,ライト,true,59,左ヘッドライト付替
テールライト,テールライト,true,57,左テールランプ脱着
ハンドル,ハンドル,true,48,アウターハンドル脱着
縞鋼板,縞鋼板,true,42,バッテリー上側踊場縞鋼板脱着曲がり直し
フォグライト,フォグライト,true,37,左フォグランプ取替
踊場,踊場,true,30,バッテリー上側踊場縞鋼板脱着曲がり直し
ストライカー,ストライカー,true,23,ストライカー曲がり調整異音止め加工
ナット,ナット,true,23,煽りドアーキャッチ点検ナット取付
バックライト,バックライト,true,23,左右バックランプ付替え
ランプ,ランプ,true,22,クランプ取替
センサー,センサー,true,18,センサー付替え
バッテリー,バッテリー,true,16,バッテリー上側踊場縞鋼板脱着曲がり直し
マーカーライト,マーカーライト,true,15,マーカーランプステー切断鈑金取替加工溶接
コーナーライト,コーナーライト,true,6,コーナーランプ脱着
