name,name_norm,is_active,count,example
ランプ,ランプ,true,160,マーカーランプステー切断鈑金取替加工溶接
ライト,ライト,true,59,左ヘッドライト付替
フォグランプ,フォグランプ,true,17,フォグランプカバー取替
右テールランプ,右テールランプ,true,16,右テールランプカバー取付
左テールランプ,左テールランプ,true,16,左テールランプ脱着
テールライト,テールライト,true,15,テールランプ穴切断加工
右ヘッドライト,右ヘッドライト,true,15,右ヘッドライト取替
左ヘッドライト,左ヘッドライト,true,15,左ヘッドライト付替
マーカーランプ,マーカーランプ,true,14,マーカーランプステー切断鈑金取替加工溶接
ランプ交換,ランプ交換,true,13,テールランプ交換
ヘッドライト,ヘッドライト,true,12,ヘッドライト取替
バックライト,バックライト,true,11,バックランプステー製作取替加工
左フォグランプ,左フォグランプ,true,11,左フォグランプ取替
左右バックランプ,左右バックランプ,true,9,左右バックランプ付替え
ライト交換,ライト交換,true,7,左ヘッドライト交換
ライト組替,ライト組替,true,7,右ヘッドライト組替
ランプ組替,ランプ組替,true,7,右フォグランプ組替
右ライト,右ライト,true,7,右ライトベゼル取替
クランプ,クランプ,true,6,クランプ取替
ライト付替,ライト付替,true,6,左ヘッドライト付替
ランプレンズ交換,ランプレンズ交換,true,6,右テールランプレンズ交換
左右テールランプ,左右テールランプ,true,6,左右テールランプレンズ組替取替
ライト引出し,ライト引出し,true,5,ヘッドライト引出し
フラッシャーランプ,フラッシャーランプ,true,4,エアホース･コネクター･配線･マーカーランプ･フラッシャーランプ脱着
ランプ付替え,ランプ付替え,true,4,左右バックランプ付替え
右フォグランプ,右フォグランプ,true,4,右フォグランプ取替
左右フォグランプ,左右フォグランプ,true,4,左右フォグランプ取替
コーナーランプ,コーナーランプ,true,3,コーナーランプ脱着
ステップライト,ステップライト,true,3,ステップライト取替
ランプ引出し,ランプ引出し,true,3,左フォグランプ引出し
ランプ付替,ランプ付替,true,3,左右テールランプ付替
左右ヘッドライト,左右ヘッドライト,true,3,左右ヘッドライト取替
パイプクランプ,パイプクランプ,true,2,パイプクランプステー脱着
ライトステー鈑金,ライトステー鈑金,true,2,ライトステー鈑金
右コーナーランプ,右コーナーランプ,true,2,右コーナーランプ脱着加工
ガード,ガード,true,324,左右サイドガード亀裂溶接4ヶ所
バンパー,バンパー,true,251,フロントバンパー右異音点検
カバー,カバー,true,241,安全ガラスアウターカバー脱着異音防止加工
フェンダー,フェンダー,true,142,左右リアフェンダー脱着
パネル,パネル,true,139,サイドパネル引出し修正
左サイドガード,左サイドガード,true,132,左サイドガード脱着
プレート,プレート,true,62,スカッフプレート脱着
右サイドガード,右サイドガード,true,56,右サイドガード折損部修正取付溶接
リヤバンパー,リヤバンパー,true,52,リヤバンパー修正鈑金加工
インナーバンパー,インナーバンパー,true,47,インナーバンパー付替
サイドガード,サイドガード,true,36,サイドガードマフラーカバー曲がり直し
右コーナーパネル,右コーナーパネル,true,31,右コーナーパネル取替取付部分引出し修正
左右サイドガード,左右サイドガード,true,30,左右サイドガード亀裂溶接4ヶ所
フロントバンパー,フロントバンパー,true,28,フロントバンパー右異音点検
左コーナーパネル,左コーナーパネル,true,27,左コーナーパネル取替
左バンパー,左バンパー,true,21,左バンパー付替
ロアフェンダー,ロアフェンダー,true,15,ロアフェンダー取替取付部分修正
コーナーパネル,コーナーパネル,true,12,コーナーパネル脱着
エンジンカバー,エンジンカバー,true,11,エンジンカバー脱着
アッパーフェンダー,アッパーフェンダー,true,10,アッパーフェンダー脱着
カバー交換,カバー交換,true,10,カバー交換
カバー取付,カバー取付,true,10,マフラーカバー取付
スカッフプレート,スカッフプレート,true,10,スカッフプレート脱着
パネル鈑金,パネル鈑金,true,10,フロアーパネル鈑金
バンパー付替,バンパー付替,true,10,フロントバンパー付替
アンダーカバー,アンダーカバー,true,9,アンダーカバー取替
バンパー組替,バンパー組替,true,9,インナーバンパー組替
バンパー鈑金,バンパー鈑金,true,9,メッキセンターバンパー鈑金
コーナーカバー,コーナーカバー,true,8,コーナーカバー取替
サイドバンパー,サイドバンパー,true,8,サイドバンパー溶接
ナンバープレート,ナンバープレート,true,8,ナンバープレート封印取外し
パネル交換,パネル交換,true,8,右コーナーパネル交換
バンパー交換,バンパー交換,true,8,フロントバンパー交換
フェンダー交換,フェンダー交換,true,8,ロアフェンダー交換
右バンパー,右バンパー,true,8,右バンパーフィニッシャー取替
左ドアパネル,左ドアパネル,true,8,左ドアパネルASSY取替
左リヤフェンダー,左リヤフェンダー,true,8,左リヤフェンダー前側付替
左右フェンダー,左右フェンダー,true,8,左右フェンダープレート取付ボルト増し締め点検
エンドカバー,エンドカバー,true,7,エンドカバー取替え
タイヤハウスカバー,タイヤハウスカバー,true,7,タイヤハウスカバー脱着
マッドガード,マッドガード,true,7,マッドガード加工
リヤステップバンパー,リヤステップバンパー,true,7,リヤステップバンパーASSY取替
右リヤフェンダー,右リヤフェンダー,true,7,右リヤフェンダーブラケット取替
左アッパーフェンダー,左アッパーフェンダー,true,7,左アッパーフェンダー脱着
左サイドバンパー,左サイドバンパー,true,7,左サイドバンパー折損部15Aパイプ取付加工溶接2本
ウィンドシールドロアパネル,ウィンドシールドロアパネル,true,6,ウィンドシールドロアパネル修正錆
パネル引出し鈑金,パネル引出し鈑金,true,6,パネル引出し鈑金
マフラーカバー,マフラーカバー,true,6,マフラーカバー取付
左フェンダー,左フェンダー,true,6,左フェンダーブラケット折損部取付加工溶接
左右バンパー,左右バンパー,true,6,左右バンパーステー脱着曲がり直し
ガードカバー,ガードカバー,true,5,ガードカバー
パネルASSY交換,パネルASSY交換,true,5,左ドアーパネルASSY交換
フェンダーカバー,フェンダーカバー,true,5,フェンダーカバー交換
フロアーパネル,フロアーパネル,true,5,フロアーパネル鈑金
ホイールカバー,ホイールカバー,true,5,ホイールカバー全軸脱着
左コーナーカバー,左コーナーカバー,true,5,左コーナーカバー取替
左ステップカバー,左ステップカバー,true,5,左ステップカバー取替
インナーパネル,インナーパネル,true,4,インナーパネル錆止め塗装
コーナーガード,コーナーガード,true,4,コーナーガードリベット止め取付加工
ステップバンパー,ステップバンパー,true,4,ステップバンパーボルト取替
バンパーカバー,バンパーカバー,true,4,センターバンパーカバー
バンパー曲がり直し,バンパー曲がり直し,true,4,リヤバンパー曲がり直し
メッキカバー,メッキカバー,true,4,メッキカバー取替
右アッパーフェンダー,右アッパーフェンダー,true,4,右アッパーフェンダー脱着
右スカッフプレート,右スカッフプレート,true,4,右スカッフプレート脱着ウェザーストリップ修正
右ドアパネル,右ドアパネル,true,4,右ドアパネルASSY交換
右フェンダー,右フェンダー,true,4,右フェンダーカバー傷面取り仕上
右後ろサイドガード,右後ろサイドガード,true,4,右後ろサイドガード溶接
左右リヤフェンダー,左右リヤフェンダー,true,4,左右リヤフェンダー腐食部分錆落とし補修テープ貼替
左後ろサイドガード,左後ろサイドガード,true,4,左後ろサイドガードステー折損部落下防止ステー製作応急取付加工
ァーストステップロアカバー,ァーストステップロアカバー,true,3,左ファーストステップロアカバー取替
カバー付替え,カバー付替え,true,3,フォグランプカバー付替え
センター泥除けプレート,センター泥除けプレート,true,3,センター泥除けプレート脱着切断加工
バックプレート,バックプレート,true,3,バックプレート脱着
パネル引出し,パネル引出し,true,3,左右サイドインシールパネル引出し
バンパー引出し,バンパー引出し,true,3,インナーバンパー引出し
バンパー引出し鈑金,バンパー引出し鈑金,true,3,インナーバンパー引出し鈑金
メッキミラーカバー,メッキミラーカバー,true,3,メッキミラーカバー付替え加工
右サイドバンパー,右サイドバンパー,true,3,右サイドバンパー折損部修正補強材取付溶接
右ドアーパネル,右ドアーパネル,true,3,右ドアーパネル付替
左マッドガード,左マッドガード,true,3,左マッドガード取替修正
左右コーナーパネル,左右コーナーパネル,true,3,左右コーナーパネル取替
左右反射板プレート,左右反射板プレート,true,3,左右反射板プレート制作取付加工
左後ろフェンダー,左後ろフェンダー,true,3,左後ろフェンダー脱着リベット打ち替え加工3本ボルト２本取替（リベット
ガード交換,ガード交換,true,2,左フェンダーマッドガード交換
ガード塗装,ガード塗装,true,2,左右サイドガード塗装
カバーボルト,カバーボルト,true,2,右ファーストステップカバーボルト２本取替
カバー曲がり直し,カバー曲がり直し,true,2,サイドガードマフラーカバー曲がり直し
カバー板金塗装,カバー板金塗装,true,2,左観音扉コーナーカバー板金塗装
サイドインナーシールパネル,サイドインナーシールパネル,true,2,右サイドインナーシールパネル応急引出し鈑金
サイドガードマフラーカバー,サイドガードマフラーカバー,true,2,サイドガードマフラーカバー曲がり直し
サイドセンサーカバー,サイドセンサーカバー,true,2,サイドセンサーカバー取替
シートカバー,シートカバー,true,2,シートカバー修正取付加工
ステップカバー,ステップカバー,true,2,ステップカバー取替
ステンサイドガード,ステンサイドガード,true,2,ステンサイドガード折損修正ステン溶接2カ所
センターバンパー,センターバンパー,true,2,センターバンパー曲がり直し
バックガード,バックガード,true,2,バックガード脱着2枚
バンパーASSY交換,バンパーASSY交換,true,2,バンパーASSY交換
バンパーステー引出し,バンパーステー引出し,true,2,バンパーステー引出し
バンパー応急引出し,バンパー応急引出し,true,2,バンパー応急引出し
フォグランプカバー,フォグランプカバー,true,2,フォグランプカバー取替
リヤカバー,リヤカバー,true,2,リヤカバー
右マッドガード,右マッドガード,true,2,右マッドガード脱着
右前サイドガード,右前サイドガード,true,2,右前サイドガードステー折損溶接
右前サイドバンパー,右前サイドバンパー,true,2,右前サイドバンパーステー脱着折損修理
左サイドパネル,左サイドパネル,true,2,左サイドパネル取替加工
左フロントフェンダー,左フロントフェンダー,true,2,左フロントフェンダーマッドガード取替
左リアフェンダー,左リアフェンダー,true,2,左リアフェンダーブラケット２本曲がり直し取付フェンダー２枚取替
左ロアフェンダー,左ロアフェンダー,true,2,左ロアフェンダー取替
左右コーナーバンパー,左右コーナーバンパー,true,2,左右コーナーバンパー取替
左右サイドバンパー,左右サイドバンパー,true,2,左右サイドバンパー折損補強取り付け溶接2ヶ所
左右フロントマッドガード,左右フロントマッドガード,true,2,左右フロントマッドガードゴム取替加工
左前ステンフェンダー,左前ステンフェンダー,true,2,左前ステンフェンダー脱着
散水車フロントバンパー,散水車フロントバンパー,true,2,散水車フロントバンパー前側配管取付加工（部品持ち込み）
アームプレート,アームプレート,false,2,アームプレート取付穴掘りリベット止め加工（10ミリボルト3セット
パネルカバー取付,パネルカバー取付,false,2,左コーナーパネルカバー取付
フェンダー前側付替,フェンダー前側付替,false,2,左リヤフェンダー前側付替
プレート交換,プレート交換,false,2,ウィングキャッチプレート交換
リヤフェンダー,リヤフェンダー,false,2,左フロント･リヤフェンダー脱着泥除けゴム取替2枚
右ステップパネル,右ステップパネル,false,2,右ステップパネル応急引出し
右前フェンダー,右前フェンダー,false,2,右前フェンダー泥除けゴム取替加工
左スカッフプレート,左スカッフプレート,false,2,左スカッフプレート脱着
左前フェンダー,左前フェンダー,false,2,左前フェンダー分解応急曲がり直し取付（8㎜ステンボルト4セット込み）
補強プレート,補強プレート,false,2,補強プレート穴掘り加工取替
ミラー,ミラー,true,122,アンダーミラー点検応急貼付
シート,シート,true,111,右ウイングシート下側脱着張替
ドライバーシート,ドライバーシート,true,37,ドライバーシートassy脱着
左ミラー,左ミラー,true,33,左ミラーアーム脱着
スプリングシート,スプリングシート,true,31,スプリングシート4箇所亀裂カット溶接
アンダーミラー,アンダーミラー,true,15,アンダーミラー点検応急貼付
右ミラー,右ミラー,true,13,右ミラーアーム脱着
ミラー交換,ミラー交換,true,10,左サイドミラー交換
サイドミラー,サイドミラー,true,9,サイドミラー脱着付替え
ミラー付替え,ミラー付替え,true,8,他ミラー付替え
左バックミラー,左バックミラー,true,7,左バックミラーステー脱着応急修正
サイドアンダーミラー,サイドアンダーミラー,true,6,サイドアンダーミラー取替
センターシート,センターシート,true,6,センターシート雨漏れ補修
ミラーアーム交換,ミラーアーム交換,true,6,左ミラーアーム交換
左サイドミラー,左サイドミラー,true,5,左サイドミラー取替
ウィングシート,ウィングシート,true,3,ウィングシート破れ部分補修シート貼付コーキング止め6か所
シート交換,シート交換,true,3,ドライバーシート交換
メッキミラー,メッキミラー,true,3,メッキミラーカバー付替え加工
高速ミラー,高速ミラー,true,3,高速ミラー取替
ウィングセンターシート,ウィングセンターシート,true,2,ウィングセンターシート前側破損部分補修テープ貼付2枚コーキング処理
ミラーアーム付替,ミラーアーム付替,true,2,左バックミラーアーム付替
ミラーアーム付替え,ミラーアーム付替え,true,2,右ミラーアーム付替え
ミラー修理,ミラー修理,true,2,左ミラー修理
ミラー付替,ミラー付替,true,2,ミラー付替
右バックミラー,右バックミラー,true,2,右バックミラー脱着
コボレーンシート,コボレーンシート,false,2,コボレーンシート押え脱着
シートASSY交換,シートASSY交換,false,2,ドライバーシートASSY交換
シート点検,シート点検,false,2,センターシート点検
パイプ,パイプ,true,158,ヒーターパイプ応急溶接
テールパイプ,テールパイプ,true,23,テールパイプ取替
ジャバラパイプ,ジャバラパイプ,true,14,ジャバラパイプ脱着
エキゾーストパイプ,エキゾーストパイプ,true,4,エキゾーストパイプ前側腐食切断パチ当て加工溶接
サイドガードコーナーパイプ,サイドガードコーナーパイプ,true,3,サイドガードコーナーパイプ1本製作切替溶接
パイプ交換,パイプ交換,true,3,テールパイプ交換
チャージパイプ,チャージパイプ,true,2,チャージパイプ交換
パイプカバー,パイプカバー,true,2,ジャバラパイプカバー
パイプ切替鈑金,パイプ切替鈑金,true,2,通しパイプ切替鈑金
ヒーターパイプ,ヒーターパイプ,true,2,ヒーターパイプ応急溶接
左サイドガードパイプ,左サイドガードパイプ,true,2,左サイドガードパイプ腐食部分切替加工溶接
左ジャバラパイプ,左ジャバラパイプ,true,2,左ジャバラパイプガード脱着
左幌骨パイプ,左幌骨パイプ,true,2,左幌骨パイプ腐食部分切断切替加工溶接
折損パイプ,折損パイプ,true,2,折損パイプ取付溶接
通しパイプ,通しパイプ,true,2,通しパイプ切替鈑金
ゴム,ゴム,true,175,ウェザーストリップゴム取替
左右泥除けゴム,左右泥除けゴム,true,15,左右泥除けゴム脱着ブラケット切断脱着曲がり直し付け替え溶接
泥除けゴム,泥除けゴム,true,13,泥除けゴム化粧板脱着付替え加工
ゴム交換,ゴム交換,true,12,タイコマフラー前後ステー脱着吊り下げゴム交換
ウェザーストリップゴム,ウェザーストリップゴム,true,7,ウェザーストリップゴム取替
ブッシュゴム,ブッシュゴム,true,7,ブッシュゴム貼替
リヤ泥除けゴム,リヤ泥除けゴム,true,7,リヤ泥除けゴム取替
