name,name_norm,is_active,count,example
ガード,ガード,true,588,左右サイドガード亀裂溶接4ヶ所
バンパー,バンパー,true,435,フロントバンパー右異音点検
ボルト,ボルト,true,429,押えボルト折れ込み取替加工２本
ステー,ステー,true,423,右ウイング枠骨ステー腐食部分切断付け替え溶接
ブラケット,ブラケット,true,289,左ウイング後ろウイングキャッチブラケット折損部補強リブ取付加工
カバー,カバー,true,278,安全ガラスアウターカバー脱着異音防止加工
パネル,パネル,true,245,サイドパネル引出し修正
フェンダー,フェンダー,true,214,左右リアフェンダー脱着
ミラー,ミラー,true,196,アンダーミラー点検応急貼付
ゴム,ゴム,true,193,ウェザーストリップゴム取替
ランプ,ランプ,true,191,マーカーランプステー切断鈑金取替加工溶接
パイプ,パイプ,true,163,ヒーターパイプ応急溶接
シート,シート,true,122,右ウイングシート下側脱着張替
ライト,ライト,true,91,左ヘッドライト付替
プレート,プレート,true,64,スカッフプレート脱着
リヤバンパー,リヤバンパー,true,52,リヤバンパー修正鈑金加工
ヘッドライト,ヘッドライト,true,45,右ヘッドライト取替
ガードステー,ガードステー,true,43,左サイドガードステー曲がり直し鈑金
テールランプ,テールランプ,true,38,右テールランプカバー取付
ドライバーシート,ドライバーシート,true,37,ドライバーシートassy脱着
フォグランプ,フォグランプ,true,36,フォグランプカバー取替
泥除けゴム,泥除けゴム,true,34,左右泥除けゴム脱着ブラケット切断脱着曲がり直し付け替え溶接
スプリングシート,スプリングシート,true,31,スプリングシート4箇所亀裂カット溶接
テールパイプ,テールパイプ,true,23,テールパイプ取替
ウェザーストリップゴム,ウェザーストリップゴム,true,22,ウェザーストリップゴム取替
アンダーミラー,アンダーミラー,true,21,アンダーミラー点検応急貼付
リヤフェンダー,リヤフェンダー,true,21,左リヤフェンダー前側付替
ジャバラパイプ,ジャバラパイプ,true,16,ジャバラパイプ脱着
スカッフプレート,スカッフプレート,true,16,スカッフプレート脱着
ステップブラケット,ステップブラケット,true,16,ステップブラケット脱着修正
テールライト,テールライト,true,15,テールランプ穴切断加工
フェンダーステー,フェンダーステー,true,14,フェンダーステー脱着折損部リブ入れ溶接
マーカーランプ,マーカーランプ,true,14,マーカーランプステー切断鈑金取替加工溶接
マッドガード,マッドガード,true,14,マッドガード加工
アーチゴム,アーチゴム,true,13,アーチゴム取替加工
ドアパネル,ドアパネル,true,12,左ドアパネルASSY取替
嚙み込みボルト,嚙み込みボルト,true,12,嚙み込みボルト２本切断取替加工
エンジンカバー,エンジンカバー,true,11,エンジンカバー脱着
バックライト,バックライト,true,11,バックランプステー製作取替加工
バンパーステー,バンパーステー,true,11,バンパーステー引出し
リヤナンバーブラケット,リヤナンバーブラケット,true,10,リヤナンバーブラケット脱着移設加工
突っ張りステー,突っ張りステー,true,10,突っ張りステー取替
アンダーカバー,アンダーカバー,true,9,アンダーカバー取替
バックミラー,バックミラー,true,9,左バックミラーステー脱着応急修正
バックランプ,バックランプ,true,9,左右バックランプ付替え
工具箱ステー,工具箱ステー,true,9,工具箱ステー左右切替加工溶接2本
ナンバーブラケット,ナンバーブラケット,true,8,ナンバーブラケット修正
ナンバープレート,ナンバープレート,true,8,ナンバープレート封印取外し
ミラーアーム,ミラーアーム,true,8,左ミラーアーム交
エンドカバー,エンドカバー,true,7,エンドカバー取替え
ステップカバー,ステップカバー,true,7,左ステップカバー取替
タイヤハウスカバー,タイヤハウスカバー,true,7,タイヤハウスカバー脱着
ドアーストリップゴム,ドアーストリップゴム,true,7,右ドアーストリップゴム脱着
ブッシュゴム,ブッシュゴム,true,7,ブッシュゴム貼替
ウィンドシールドパネル,ウィンドシールドパネル,true,6,ウィンドシールドロアパネル修正錆
クランプ,クランプ,true,6,クランプ取替
ナンバーボルト,ナンバーボルト,true,6,前後ナンバーボルト脱着タップ掛け
マフラーカバー,マフラーカバー,true,6,マフラーカバー取付
ランプレンズ,ランプレンズ,true,6,右テールランプレンズ交換
作業灯ステー,作業灯ステー,true,6,作業灯ステー4本製作取付加工
ウィングシート,ウィングシート,true,5,ウィングシート破れ部分補修シート貼付コーキング止め6か所
ガードカバー,ガードカバー,true,5,ガードカバー
ガードパイプ,ガードパイプ,true,5,サイドガードコーナーパイプ1本製作切替溶接
パネルASSY,パネルASSY,true,5,左ドアーパネルASSY交換
フェンダーカバー,フェンダーカバー,true,5,フェンダーカバー交換
ホイールカバー,ホイールカバー,true,5,ホイールカバー全軸脱着
折損ボルト,折損ボルト,true,5,折損ボルト取替加工
エキゾーストパイプ,エキゾーストパイプ,false,4,エキゾーストパイプ前側腐食切断パチ当て加工溶接
ステップバンパー,ステップバンパー,false,4,ステップバンパーボルト取替
ステンボルト,ステンボルト,false,4,左前フェンダー分解応急曲がり直し取付（8㎜ステンボルト4セット込み）
ストリップゴム,ストリップゴム,false,4,左右前後ウィングドアーストリップゴム接着材剝ぎ取り･ストリップゴム接着貼替
タンクブラケット,タンクブラケット,false,4,タンクブラケット応急曲がり直し
バンパーカバー,バンパーカバー,false,4,センターバンパーカバー
ブラケットカバー,ブラケットカバー,false,4,ブラケットカバー
フラッシャーランプ,フラッシャーランプ,false,4,エアホース･コネクター･配線･マーカーランプ･フラッシャーランプ脱着
プラットホームゴム,プラットホームゴム,false,4,プラットホームゴム3本取替加工
ミラーステー,ミラーステー,false,4,右ミラーステー調整
メッキカバー,メッキカバー,false,4,メッキカバー取替
戸当たりゴム,戸当たりゴム,false,4,戸当たりゴム脱着
工具箱ブラケット,工具箱ブラケット,false,4,工具箱ブラケット腐食ステー2本切断製作取替溶接
Uボルト,Uボルト,false,3,Uボルト固定溶接1ヶ所
アンダーステー,アンダーステー,false,3,アンダーステー脱着
ガゼットボルト,ガゼットボルト,false,3,ガゼットボルト取付
クッションゴム,クッションゴム,false,3,クッションゴム取替貼付２枚
シートブラケット,シートブラケット,false,3,シートブラケット増し締め点検
ステップライト,ステップライト,false,3,ステップライト取替
スプラッシュゴム,スプラッシュゴム,false,3,スプラッシュゴム交換
スプラッシュシールゴム,スプラッシュシールゴム,false,3,スプラッシュシールゴム取替
テールランプブラケット,テールランプブラケット,false,3,テールランプブラケット製作
ドアーパネル,ドアーパネル,false,3,右ドアーパネル付替
バックプレート,バックプレート,false,3,バックプレート脱着
バックランプステー,バックランプステー,false,3,バックランプステー製作取替加工
ファーストステップカバー,ファーストステップカバー,false,3,左ファーストステップロアカバー取替
メッキミラー,メッキミラー,false,3,メッキミラーカバー付替え加工
メッキミラーカバー,メッキミラーカバー,false,3,メッキミラーカバー付替え加工
リフレクターブラケット,リフレクターブラケット,false,3,リフレクターブラケット脱着修正
リヤナンバーボルト,リヤナンバーボルト,false,3,リヤナンバーボルト折れ込み取外し取替
高速ミラー,高速ミラー,false,3,高速ミラー取替
蝶番ボルト,蝶番ボルト,false,3,ウィング蝶番ボルト2本取り付け点検
泥除けプレート,泥除けプレート,false,3,センター泥除けプレート脱着切断加工
反射板プレート,反射板プレート,false,3,左右反射板プレート制作取付加工
敷ゴム,敷ゴム,false,3,敷ゴム貼替取替
CIタップボルト,CIタップボルト,false,2,CIタップボルト
UDPCボルト,UDPCボルト,false,2,UDPC取付ボルト折れ込み修理
アームプレート,アームプレート,false,2,アームプレート取付穴掘りリベット止め加工（10ミリボルト3セット
ガードマフラーカバー,ガードマフラーカバー,false,2,サイドガードマフラーカバー曲がり直し
カバーボルト,カバーボルト,false,2,右ファーストステップカバーボルト２本取替
カプラーガイドブラケット,カプラーガイドブラケット,false,2,右カプラーガイドブラケット脱着切断鈑金溶接
カプラースイッチブラケット,カプラースイッチブラケット,false,2,カプラースイッチブラケット取付加工
カプラーステー,カプラーステー,false,2,右フレーム曲がり直しカプラーステー鈑金
グリルステー,グリルステー,false,2,グリルステー曲がり直し鈑金
コボレーンシート,コボレーンシート,false,2,コボレーンシート押え脱着
シートASSY,シートASSY,false,2,ドライバーシートASSY交換
シートカバー,シートカバー,false,2,シートカバー修正取付加工
シールパネル,シールパネル,false,2,右サイドインナーシールパネル応急引出し鈑金
スイッチステー,スイッチステー,false,2,スイッチステー切断付替え加工
ステー制作,ステー制作,false,2,左ステー制作取付
ステップパネル,ステップパネル,false,2,右ステップパネル応急引出し
ステンガード,ステンガード,false,2,ステンサイドガード折損修正ステン溶接2カ所
ステンフェンダー,ステンフェンダー,false,2,左前ステンフェンダー脱着
ステンロックスイッチステー,ステンロックスイッチステー,false,2,左右ステンロックスイッチステー脱着Z曲げ加工リベット打ち替え6本
センサーカバー,センサーカバー,false,2,サイドセンサーカバー取替
チャージパイプ,チャージパイプ,false,2,チャージパイプ交換
ハーネスステー,ハーネスステー,false,2,左ハーネスステー脱着
パイプカバー,パイプカバー,false,2,ジャバラパイプカバー
パイプクランプ,パイプクランプ,false,2,パイプクランプステー脱着
バックガード,バックガード,false,2,バックガード脱着2枚
バックカメラブラケット,バックカメラブラケット,false,2,バックカメラブラケット制作取付加工
パネルカバー,パネルカバー,false,2,左コーナーパネルカバー取付
バンパーASSY,バンパーASSY,false,2,バンパーASSY交換
ヒーターパイプ,ヒーターパイプ,false,2,ヒーターパイプ応急溶接
フェンダー側,フェンダー側,false,2,左リヤフェンダー前側付替
フォグランプカバー,フォグランプカバー,false,2,フォグランプカバー取替
ブラケットボルト,ブラケットボルト,false,2,ブラケットボルト折れ込み修理
ブラケット取りし,ブラケット取りし,false,2,左右観音扉コンパネ入れブラケット取り外し
ブレーキブラケット,ブレーキブラケット,false,2,サイドブレーキブラケット亀裂溶接
ブレ止めステー,ブレ止めステー,false,2,ブレ止めステー製作取替加工
ボルト止め,ボルト止め,false,2,荷台内架台修正ボルト止め
マッドガードゴム,マッドガードゴム,false,2,左右フロントマッドガードゴム取替加工
ライトステー,ライトステー,false,2,ライトステー鈑金
ライトブラケット,ライトブラケット,false,2,右ライトブラケット取替
リヤカバー,リヤカバー,false,2,リヤカバー
リヤバンパーステー,リヤバンパーステー,false,2,リヤバンパーステーボルト切断
ロングボルト,ロングボルト,false,2,ロングボルト2本取替
延長ブラケット,延長ブラケット,false,2,延長ブラケット亀裂カット溶接
押えボルト,押えボルト,false,2,押えボルト折れ込み取替加工２本
穴掘りボルト,穴掘りボルト,false,2,穴掘りボルト２本止め固定加工
固定ボルト,固定ボルト,false,2,固定ボルト1本取替ブッシュ取付加工
根太穴掘りボルト,根太穴掘りボルト,false,2,横根太穴掘りボルト留め加工
散水車バンパー,散水車バンパー,false,2,散水車フロントバンパー前側配管取付加工（部品持ち込み）
床枠ボルト,床枠ボルト,false,2,左右床枠ボルト折れ込み修理2本
折損ステー,折損ステー,false,2,折損ステー取付リブ入れ溶接
折損パイプ,折損パイプ,false,2,折損パイプ取付溶接
通しパイプ,通しパイプ,false,2,通しパイプ切替鈑金
泥除けゴムブラケット,泥除けゴムブラケット,false,2,センター泥除けゴムブラケット取外し取替
補強プレート,補強プレート,false,2,補強プレート穴掘り加工取替
幌骨パイプ,幌骨パイプ,false,2,左幌骨パイプ腐食部分切断切替加工溶接
幌骨差込ブラケット,幌骨差込ブラケット,false,2,幌骨差込ブラケット折損パイプ取付溶接
踊場枠骨ボルト,踊場枠骨ボルト,false,2,踊場右枠骨ボルト折れ込み取外し取替加工
