name,name_norm,is_active,count,example,category,category_name
ヘッドライト,ヘッドライト,true,45,右ヘッドライト取替,engine,エンジン系
エンジンカバー,エンジンカバー,true,11,エンジンカバー脱着,engine,エンジン系
マフラーカバー,マフラーカバー,true,6,マフラーカバー取付,engine,エンジン系
エキゾーストパイプ,エキゾーストパイプ,false,4,エキゾーストパイプ前側腐食切断パチ当て加工溶接,engine,エンジン系
ガードマフラーカバー,ガードマフラーカバー,false,2,サイドガードマフラーカバー曲がり直し,engine,エンジン系
スプリングシート,スプリングシート,true,31,スプリングシート4箇所亀裂カット溶接,suspension,足回り・サスペンション
ミラーアーム,ミラーアーム,true,8,左ミラーアーム交,suspension,足回り・サスペンション
タイヤハウスカバー,タイヤハウスカバー,true,7,タイヤハウスカバー脱着,suspension,足回り・サスペンション
ブッシュゴム,ブッシュゴム,true,7,ブッシュゴム貼替,suspension,足回り・サスペンション
ホイールカバー,ホイールカバー,true,5,ホイールカバー全軸脱着,suspension,足回り・サスペンション
アームプレート,アームプレート,false,2,アームプレート取付穴掘りリベット止め加工（10ミリボルト3セット,suspension,足回り・サスペンション
パイプ,パイプ,true,163,ヒーターパイプ応急溶接,brake,ブレーキ系
テールパイプ,テールパイプ,true,23,テールパイプ取替,brake,ブレーキ系
ジャバラパイプ,ジャバラパイプ,true,16,ジャバラパイプ脱着,brake,ブレーキ系
ガードパイプ,ガードパイプ,true,5,サイドガードコーナーパイプ1本製作切替溶接,brake,ブレーキ系
チャージパイプ,チャージパイプ,false,2,チャージパイプ交換,brake,ブレーキ系
パイプカバー,パイプカバー,false,2,ジャバラパイプカバー,brake,ブレーキ系
パイプクランプ,パイプクランプ,false,2,パイプクランプステー脱着,brake,ブレーキ系
ヒーターパイプ,ヒーターパイプ,false,2,ヒーターパイプ応急溶接,brake,ブレーキ系
ブレーキブラケット,ブレーキブラケット,false,2,サイドブレーキブラケット亀裂溶接,brake,ブレーキ系
折損パイプ,折損パイプ,false,2,折損パイプ取付溶接,brake,ブレーキ系
通しパイプ,通しパイプ,false,2,通しパイプ切替鈑金,brake,ブレーキ系
幌骨パイプ,幌骨パイプ,false,2,左幌骨パイプ腐食部分切断切替加工溶接,brake,ブレーキ系
バンパー,バンパー,true,435,フロントバンパー右異音点検,exterior,外装・ボディ
フェンダー,フェンダー,true,214,左右リアフェンダー脱着,exterior,外装・ボディ
リヤバンパー,リヤバンパー,true,52,リヤバンパー修正鈑金加工,exterior,外装・ボディ
リヤフェンダー,リヤフェンダー,true,21,左リヤフェンダー前側付替,exterior,外装・ボディ
フェンダーステー,フェンダーステー,true,14,フェンダーステー脱着折損部リブ入れ溶接,exterior,外装・ボディ
ドアパネル,ドアパネル,true,12,左ドアパネルASSY取替,exterior,外装・ボディ
バンパーステー,バンパーステー,true,11,バンパーステー引出し,exterior,外装・ボディ
ドアーストリップゴム,ドアーストリップゴム,true,7,右ドアーストリップゴム脱着,exterior,外装・ボディ
フェンダーカバー,フェンダーカバー,true,5,フェンダーカバー交換,exterior,外装・ボディ
ステップバンパー,ステップバンパー,false,4,ステップバンパーボルト取替,exterior,外装・ボディ
バンパーカバー,バンパーカバー,false,4,センターバンパーカバー,exterior,外装・ボディ
ドアーパネル,ドアーパネル,false,3,右ドアーパネル付替,exterior,外装・ボディ
グリルステー,グリルステー,false,2,グリルステー曲がり直し鈑金,exterior,外装・ボディ
ステンフェンダー,ステンフェンダー,false,2,左前ステンフェンダー脱着,exterior,外装・ボディ
