id,invoice_id,line_no,sub_no,raw_label_part,action,target,position,raw_label,unit_price,quantity,amount,other,set_name,is_cancelled,confidence_score,extraction_method,notes,created_at,updated_at
1,21111292-1,1,1,上踊場縞鋼板曲がり直し バッテリー上脱着調整,曲がり直し・調整・脱着,踊場縞鋼板,上,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,,1,,バッテリー上脱着調整,,,,,,,
2,21111292-1,1,2,上蝶番調整曲がり直し脱着 脱着,調整・曲がり直し・脱着,蝶番,上,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,,1,,脱着,,,,,,,
3,21111292-1,1,3,上ストライカー調整曲がり直し脱着 曲がり異音止め加工,調整・曲がり直し・脱着,ストライカー,上,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,,1,,曲がり異音止め加工,,,,,,,
4,21111293-1,1,1,ヒーターパイプ溶接 応急,溶接,ヒーターパイプ,,ヒーターパイプ応急溶接,3000.0,1,3000.0,応急,,,,,,,
5,21111293-2,1,1,ヒーターパイプ溶接 応急,溶接,ヒーターパイプ,,ヒーターパイプ応急溶接,3000.0,1,3000.0,応急,,,,,,,
6,21111294-1,1,1,右ドア研磨仕上げ,研磨・仕上げ,ドア,右,右ドアー研磨仕上げ,3000.0,1,3000.0,,,,,,,,
7,21111295-1,1,1,左観音扉調整 蝶番脱着,調整・脱着,観音扉,左,左観音扉蝶番脱着調整,2000.0,1,2000.0,蝶番脱着,,,,,,,
8,21111295-1,2,1,左内張り脱着加工 ドアー,脱着・加工,内張り,左,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,,1,,ドアー,ドア修理一式,,,,,,
9,21111295-1,2,2,左レギュレター脱着加工,脱着・加工,レギュレター,左,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,,1,,,ドア修理一式,,,,,,
10,21111295-1,2,3,左ラッチ脱着加工,脱着・加工,ラッチ,左,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,,1,,,ドア修理一式,,,,,,
