id,invoice_id,line_no,sub_no,raw_label_part,action,target,position,raw_label,unit_price,quantity,amount,other,set_name,is_cancelled,confidence_score,extraction_method,notes,created_at,updated_at
1,21111292-1,1,1,上踊場縞鋼板曲がり直し バッテリー上脱着調整,曲がり直し・調整・脱着,踊場縞鋼板,上,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,0,1,0,バッテリー上脱着調整,,false,0.95,manual_csv_import,other: バッテリー上脱着調整,2025-09-16T20:22:06.967Z,
2,21111292-1,1,2,上蝶番調整曲がり直し脱着 脱着,調整・曲がり直し・脱着,蝶番,上,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,0,1,0,脱着,,false,0.95,manual_csv_import,other: 脱着,2025-09-16T20:22:06.969Z,
3,21111292-1,1,3,上ストライカー調整曲がり直し脱着 曲がり異音止め加工,調整・曲がり直し・脱着,ストライカー,上,バッテリー上側踊場縞鋼板脱着曲がり直し、蝶番脱着調整、ストライカー曲がり調整異音止め加工,0,1,0,曲がり異音止め加工,,false,0.95,manual_csv_import,other: 曲がり異音止め加工,2025-09-16T20:22:06.969Z,
4,21111293-1,1,1,ヒーターパイプ溶接 応急,溶接,ヒーターパイプ,,ヒーターパイプ応急溶接,3000,1,3000,応急,,false,0.95,manual_csv_import,other: 応急,2025-09-16T20:22:06.969Z,
5,21111293-2,1,1,ヒーターパイプ溶接 応急,溶接,ヒーターパイプ,,ヒーターパイプ応急溶接,3000,1,3000,応急,,false,0.95,manual_csv_import,other: 応急,2025-09-16T20:22:06.969Z,
6,21111294-1,1,1,右ドア研磨仕上げ,研磨・仕上げ,ドア,右,右ドアー研磨仕上げ,3000,1,3000,,,false,0.95,manual_csv_import,,2025-09-16T20:22:06.969Z,
7,21111295-1,1,1,左観音扉調整 蝶番脱着,調整・脱着,観音扉,左,左観音扉蝶番脱着調整,2000,1,2000,蝶番脱着,,false,0.95,manual_csv_import,other: 蝶番脱着,2025-09-16T20:22:06.969Z,
8,21111295-1,2,1,左内張り脱着加工 ドアー,脱着・加工,内張り,左,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,0,1,0,ドアー,ドア修理一式,false,0.95,manual_csv_import,other: ドアー | set: ドア修理一式,2025-09-16T20:22:06.969Z,
9,21111295-1,2,2,左レギュレター脱着加工,脱着・加工,レギュレター,左,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,0,1,0,,ドア修理一式,false,0.95,manual_csv_import,set: ドア修理一式,2025-09-16T20:22:06.969Z,
10,21111295-1,2,3,左ラッチ脱着加工,脱着・加工,ラッチ,左,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,0,1,0,,ドア修理一式,false,0.95,manual_csv_import,set: ドア修理一式,2025-09-16T20:22:06.969Z,
