name,sort_order,reading
踊場縞鋼板,1,おどりばしまこういた
蝶番,2,ちょうつがい
バッテリー,3,ばってり゜
ヒーターパイプ,4,ひ゜た゜ぱいぷ
観音扉,5,かんのんとびら
内張り,6,うちばりり
レギュレター,7,れぎゅれた゜
ラッチ,8,らっち
サッシュ,9,さっしゅ
アウターハンドル,10,あうた゜はんどる
ガラスアウターカバー,11,がらすあうた゜かば゜
サニーホース,12,さに゜ほ゜す
ボルト,13,ぼると
コボレーンシャフト,14,こぼれ゜んしゃふと
ウィングシート,15,うぃんぐし゜と
ステー,16,すて゜
リブ,17,りぶ
フラットバー,18,ふらっとば゜
反射板ステー,19,はんしゃばんすてー
リベット,20,りべっと
マフラーカバー,21,まふら゜かば゜
サイドガード,22,さいどが゜ど
パイプ,23,ぱいぷ
ウィングキャッチ,24,うぃんぐきゃっち
アンダーミラー,25,あんだ゜みら゜
サイドガードステー,26,さいどが゜どすて゜
サイドガード,27,さいどが゜ど
タイコマフラー,28,たいこまふら゜
イコライザーロックピン,29,いこらいざ゜ろっくぴん
ミラー,30,みら゜
ドア,31,どあ
プレート,32,ぷれ゜と
ウェザーストリップゴム,33,うぇざ゜すとりっぷごむ
バンパー,34,ばんぱ゜
セイコーラックアーム,35,せいこ゜らっくあ゜む
蝶番ピン,36,ちょうつがいぴん
キャッチ,37,きゃっち
横根太,38,横根ふと
床板,39,床いた
フェンダー,40,ふぇんだ゜
戸当たりゴム,41,と当たりごむ
ナンバーボルト,42,なんば゜ぼると
フロントリッド,43,ふろんとりっど
ウィング,44,うぃんぐ
ステンウィングキャッチ,45,すてんうぃんぐきゃっち
マフラー,46,まふら゜
ジャバラパイプ,47,じゃばらぱいぷ
キャスターストッパー,48,きゃすた゜すとっぱ゜
キャッチシャフト,49,きゃっちしゃふと
木材,50,木ざい
ボルト一式,51,ぼるといちしき
踊場枠,52,おどりば枠
燃料タンク,53,ねんりょうたんく
ドア蝶番ボルト,54,ドアちょうつがいぼると
シート,55,し゜と
エアーホース,56,えあ゜ほ゜す
アウトリガー,57,あうとりが゜
アウトリガーブラケット,58,あうとりが゜ぶらけっと
アウトリガー 取付部,59,アウトリガー とりつけぶ
フレーム,60,ふれ゜む
マーカーランプステー,61,ま゜か゜らんぷすて゜
バンド,62,ばんど
ブラケット,63,ぶらけっと
アルミ縞板,64,アルミしまいた
フェンダーブラケット,65,ふぇんだ゜ぶらけっと
テールランプ,66,て゜るらんぷ
タイヤハウスカバー,67,たいやはうすかば゜
アッパーステップ,68,あっぱ゜すてっぷ
コンデンサーステー,69,こんでんさ゜すて゜
インナーパネル,70,いんな゜ぱねる
サイドガードマフラーカバー,71,さいどが゜どまふら゜かば゜
スケット,72,すけっと
テールランプカバー,73,て゜るらんぷかば゜
セイコーラック,74,せいこ゜らっく
サイドガードマフラーパイプガード,75,さいどが゜どまふら゜ぱいぷが゜ど
ドアキャッチ,76,どあきゃっち
フロントバンパー,77,ふろんとばんぱ゜
カバー,78,かば゜
ヘッドライト,79,へっどらいと
コーナーパネル,80,こ゜な゜ぱねる
ファーストステップカバー,81,ふぁ゜すとすてっぷかば゜
コーナーバンパー,82,こ゜な゜ばんぱ゜
バンパーフィニッシャー,83,ばんぱ゜ふぃにっしゃ゜
フォグランプ,84,ふぉぐらんぷ
骨ボルト,85,骨ぼると
アンダーカバー,86,あんだ゜かば゜
ランディングパット,87,らんでぃんぐぱっと
ドライブシャフト,88,どらいぶしゃふと
ドライバーシートassy,89,ドライバーしーとassy
リクライニングシート,90,りくらいにんぐし゜と
シートブラケット,91,し゜とぶらけっと
幌骨差込口,92,幌骨差込くち
ドアーキャッチ,93,どあ゜きゃっち
煽りドアーキャッチ,94,煽りドアーきゃっち
反射板,95,はんしゃばん
ドアスケット,96,どあすけっと
ドアースイッチ,97,どあ゜すいっち
ガラス,98,がらす
キャブキャッチレバーブラケット,99,きゃぶきゃっちれば゜ぶらけっと
アッパーフェンダー,100,あっぱ゜ふぇんだ゜
パネル,101,ぱねる
ハンドルグリップ,102,はんどるぐりっぷ
ステップ,103,すてっぷ
バンパー,104,ばんぱ゜
ハンドルシャフト,105,はんどるしゃふと
板ステンレス,106,いたステンレス
板ブッシュゴム,107,いたぶっしゅごむ
泥除けゴム,108,泥じょけごむ
ミリボルト,109,みりぼると
コンテナロックレバー,110,こんてなろっくれば゜
ステン泥除け枠,111,ステン泥じょけ枠
UDマーク,112,UDまーく
テールパイプ,113,て゜るぱいぷ
サブフレームブラケット,114,さぶふれ゜むぶらけっと
集合管,115,集合かん
踊場,116,おどりば
ブッシュゴム,117,ぶっしゅごむ
シャフト,118,しゃふと
バンパーカバー,119,ばんぱ゜かば゜
ウイングスイッチ,120,ういんぐすいっち
バンパーステーボルト,121,ばんぱ゜すて゜ぼると
バックランプ,122,ばっくらんぷ
柱パイプ,123,柱ぱいぷ
テープ,124,て゜ぷ
フロントバンパーグリル,125,ふろんとばんぱ゜ぐりる
フェンダーブラケット,126,ふぇんだ゜ぶらけっと
ゲート,127,げ゜と
スタッドボルト,128,すたっどぼると
フロントグリル,129,ふろんとぐりる
フロントスプリングバンドカット,130,ふろんとすぷりんぐばんどかっと
タップボルト,131,たっぷぼると
ボード,132,ぼ゜ど
メッキミラー,133,めっきみら゜
ドアパネル,134,どあぱねる
ステップカバー,135,すてっぷかば゜
メッキコーナーバンパー,136,めっきこ゜な゜ばんぱ゜
ブレーキペダル,137,ぶれ゜きぺだる
ピラー,138,ぴら゜
スカッフプレート,139,すかっふぷれ゜と
フロアーマット,140,ふろあ゜まっと
ドライバーシート,141,どらいば゜し゜と
サイド内張,142,サイドうちばり
グリップ,143,ぐりっぷ
リーンホースメントパネル,144,り゜んほ゜すめんとぱねる
キャブ,145,きゃぶ
梯子,146,梯子
ピーラーヒンジ,147,ぴ゜ら゜ひんじ
ドアバイザー,148,どあばいざ゜
ステンテールランプブラケット,149,すてんて゜るらんぷぶらけっと
シャフトカバー,150,しゃふとかば゜
モーター,151,も゜た゜
枠骨,152,枠骨
ゲートヒンジ,153,げ゜とひんじ
踊場フレーム,154,おどりばふれーむ
マーカーランプ,155,ま゜か゜らんぷ
エキゾーストパイプ,156,えきぞ゜すとぱいぷ
ボデーリアカーテン,157,ぼで゜りあか゜てん
ガゼットボルト,158,がぜっとぼると
ナンバーボルト,159,なんば゜ぼると
ステップバンパーボルト,160,すてっぷばんぱ゜ぼると
シートギヤハンドル,161,し゜とぎやはんどる
マットガード,162,まっとが゜ど
ジャバラパイプガード,163,じゃばらぱいぷが゜ど
コーナーカバー,164,こ゜な゜かば゜
カプラーガイドブラケット,165,かぷら゜がいどぶらけっと
フェンダーブラケット,166,ふぇんだ゜ぶらけっと
フェンダー,167,ふぇんだ゜
アーチゴム,168,あ゜ちごむ
消火器,169,消火き
フィニッシャーステー,170,ふぃにっしゃ゜すて゜
コボレーン枠,171,コボレーン枠
ジャバラパイプステー,172,じゃばらぱいぷすて゜
スケットアームピン,173,すけっとあ゜むぴん
ツイストロックリターンスプリング,174,ついすとろっくりた゜んすぷりんぐ
工具箱押さえ,175,こうぐ箱押さえ
踊場脱着,176,おどりばだっちゃく
サイドガードステー,177,さいどが゜どすて゜
縞鋼板,178,しまこういた
パイプメートル,179,ぱいぷめ゜とる
カーテンレール,180,か゜てんれ゜る
アングル,181,あんぐる
タカラポストキャッチ,182,たからぽすときゃっち
スケットスプリング,183,すけっとすぷりんぐ
サイドアンダーミラー,184,さいどあんだ゜みら゜
タンクバンド,185,たんくばんど
スケットアーム,186,すけっとあ゜む
リーフスプリングバンド,187,り゜ふすぷりんぐばんど
オイルパン,188,おいるぱん
アーム,189,あ゜む
鋼板,190,こういた
メッキパーツ,191,めっきぱ゜つ
ガード,192,が゜ど
ラッシングレール,193,らっしんぐれ゜る
ナンバープレート,194,なんば゜ぷれ゜と
マッドガード,195,まっどが゜ど
サイドガードステン化粧板,196,サイドガードステン化粧いた
リベット,197,りべっと
メッキバンパー,198,めっきばんぱ゜
モール,199,も゜る
スカート,200,すか゜と
フラッシャーランプ,201,ふらっしゃ゜らんぷ
ドアフラッシャー,202,どあふらっしゃ゜
ファーストステップ,203,ふぁ゜すとすてっぷ
セカンドステップ,204,せかんどすてっぷ
ステップウォール,205,すてっぷうぉ゜る
タンクホースバンド,206,たんくほ゜すばんど
ファーストステップブラケット,207,ふぁ゜すとすてっぷぶらけっと
ガーニッシュ,208,が゜にっしゅ
ステップランプ,209,すてっぷらんぷ
ドアスイッチ,210,どあすいっち
シートベルト,211,し゜とべると
泥除け,212,泥じょけ
下回り,213,げかいり
センターフィニッシャー,214,せんた゜ふぃにっしゃ゜
フィニッシャー,215,ふぃにっしゃ゜
インナーバンパー,216,いんな゜ばんぱ゜
フラッシャー,217,ふらっしゃ゜
タンクキャップパッキン,218,たんくきゃっぷぱっきん
塗料,219,ぬりりょう
錆止め,220,錆しめ
シンナー,221,しんな゜
硬化剤,222,硬化剤
フック,223,ふっく
ドアスケットスプリング,224,どあすけっとすぷりんぐ
アーチゴムスプリング,225,あ゜ちごむすぷりんぐ
フェンダー,226,ふぇんだ゜
ウィング蝶番,227,ウィングちょうつがい
リターンスプリング,228,りた゜んすぷりんぐ
レール,229,れ゜る
スイッチレバー,230,すいっちれば゜
セイコーラックアームピン,231,せいこ゜らっくあ゜むぴん
エアーフィルターステー,232,えあ゜ふぃるた゜すて゜
ボルト,233,ぼると
ジャンパーソケットコネクター,234,じゃんぱ゜そけっとこねくた゜
センタースロットルキャッチ,235,せんた゜すろっとるきゃっち
枠ストッパー,236,枠ストッパー
ストリップゴム,237,すとりっぷごむ
ウィングセンターシート,238,うぃんぐせんた゜し゜と
レールブラケットボルト,239,れ゜るぶらけっとぼると
ドアステンキャッチ,240,どあすてんきゃっち
テールランプブッシュボルト,241,て゜るらんぷぶっしゅぼると
ケーブルハンガーポール,242,け゜ぶるはんが゜ぽ゜る
ドアーストライカー,243,どあ゜すとらいか゜
リフレクター,244,りふれくた゜
ウィングキャッチチェーンフック,245,うぃんぐきゃっちちぇ゜んふっく
ウィングドア,246,うぃんぐどあ
フェンダー,247,ふぇんだ゜
フェンダーカバー,248,ふぇんだ゜かば゜
マフラーセンサーボルト,249,まふら゜せんさ゜ぼると
ウィングドアストリップゴム,250,うぃんぐどあすとりっぷごむ
フロントインナーバンパー,251,ふろんといんな゜ばんぱ゜
ズック,252,ずっく
メンバー,253,めんば゜
りん木入れ,254,りん木にゅうれ
ロープフック,255,ろ゜ぷふっく
コンテナロック,256,こんてなろっく
青塗料,257,青ぬりりょう
アウトリガーハンドルロック,258,あうとりが゜はんどるろっく
ステップバンパー,259,すてっぷばんぱ゜
ノズル,260,のずる
バックカメラ,261,ばっくかめら
ナンバーブラケット,262,なんば゜ぶらけっと
ナット,263,なっと
サブタンク,264,さぶたんく
ステップバンパー,265,すてっぷばんぱ゜
バンパーステー,266,ばんぱ゜すて゜
床枠,267,床枠
押え,268,押え
突っ張りステー,269,突っ張りすてー
ステンガード,270,すてんが゜ど
プラットホームゴム,271,ぷらっとほ゜むごむ
補強材,272,ほきょうざい
バックランプステーブラケット,273,ばっくらんぷすて゜ぶらけっと
根太,274,根ふと
踊場アルミ,275,おどりばアルミ
コーナーリングランプ,276,こ゜な゜りんぐらんぷ
ステンフェンダー,277,すてんふぇんだ゜
サイドガードピン,278,さいどが゜どぴん
バックミラーステー,279,ばっくみら゜すて゜
エアダムバンパー,280,えあだむばんぱ゜
メッキコーナーランプベゼル,281,めっきこ゜な゜らんぷべぜる
フックブラケット,282,ふっくぶらけっと
ステンボルト,283,すてんぼると
板ステー,284,いたすてー
ステンブラケット,285,すてんぶらけっと
サイドブレーキ,286,さいどぶれ゜き
蝶番ブラケット,287,ちょうつがいぶらけっと
支柱,288,しちゅう
ステンステー,289,すてんすて゜
ドア,290,どあ
ドアラッチ,291,どあらっち
ストライカー,292,すとらいか゜
インナーハンドル,293,いんな゜はんどる
コーナーランプ,294,こ゜な゜らんぷ
アームプレート,295,あ゜むぷれ゜と
ポール,296,ぽ゜る
センサー,297,せんさ゜
燃料抜き入れ,298,ねんりょう抜きにゅうれ
中間ホース,299,ちゅう間ほーす
タンクブラケットクッションゴム,300,たんくぶらけっとくっしょんごむ
ポンプユニット,301,ぽんぷゆにっと
ボルト焼き付き,302,ぼると焼きつけき
ネジ山,303,ネジ山
プラットホーム縞板,304,プラットホームしまいた
焼き付きボルト,305,焼きつけきぼると
ターボチャージャースタッドボルト,306,た゜ぼちゃ゜じゃ゜すたっどぼると
プラットホーム縞板,307,プラットホームしまいた
ボルト折れ込み,308,ぼると折れ込み
ボルトASSY,309,ぼるとASSY
丸形リフレクター1枚（込み）,310,丸形りふれくたーいち枚（込み）
ボデー,311,ぼで゜
ガイドレール,312,がいどれ゜る
ミリコ,313,みりこ
ホース,314,ほ゜す
サイドバンパー 折損部,315,サイドバンパー 折損ぶ
ナンバー,316,なんば゜
コントロールロッド,317,こんとろ゜るろっど
ショックアブソーバー,318,しょっくあぶそ゜ば゜
ガスダンバー,319,がすだんば゜
ホースクランプ,320,ほ゜すくらんぷ
穴掘り,321,あな掘り
オートグリスホース,322,お゜とぐりすほ゜す
自重計,323,自じゅう計
竹箒入れ,324,竹箒にゅうれ
コネクター,325,こねくた゜
踊場縞鋼板,326,おどりばしまこういた
全面タップ掛け,327,ぜん面タップ掛け
フロントショックアブソーバー,328,ふろんとしょっくあぶそ゜ば゜
ショックアブソーバー,329,しょっくあぶそ゜ば゜
ハンドル,330,はんどる
アクスルボルトスタッド,331,あくするぼるとすたっど
燃料サブタンク,332,ねんりょうサブたんく
燃料抜き,333,ねんりょう抜き
シャックルブラケット,334,しゃっくるぶらけっと
骨ナット,335,骨なっと
ステン枠,336,ステン枠
フェリーフック,337,ふぇり゜ふっく
踊場バッテリー,338,おどりばばってりー
テールパイプマフラー,339,て゜るぱいぷまふら゜
鉄板,340,てついた
蝶番ボルト,341,ちょうつがいぼると
センターシート,342,せんた゜し゜と
サイドバンパー,343,さいどばんぱ゜
サイドミラー付替え,344,サイドみらーつけかええ
ミラーステー,345,みら゜すて゜
骨パイプ,346,骨ぱいぷ
ツイストロックハンドルストッパー,347,ついすとろっくはんどるすとっぱ゜
ロアフェンダー,348,ろあふぇんだ゜
サイドミラー,349,さいどみら゜
アンダーミラー,350,あんだ゜みら゜
ミラーアーム,351,みら゜あ゜む
ウィングセンタービーム,352,うぃんぐせんた゜び゜む
センタースロットル,353,せんた゜すろっとる
板リベット,354,いたりべっと
ウォーターパイプ,355,うぉ゜た゜ぱいぷ
踊場ボルト,356,おどりばぼると
スプラッシュシールゴム,357,すぷらっしゅし゜るごむ
メッキ,358,めっき
サイドインナーシールパネル,359,さいどいんな゜し゜るぱねる
サイド,360,さいど
コーキング入替,361,コーキングにゅうかえ
ダンプ,362,だんぷ
ラテラルロッド,363,らてらるろっど
フロントグリルメッキカバー,364,ふろんとぐりるめっきかば゜
板センターレール,365,いたセンターれーる
ツイストロックストッパー,366,ついすとろっくすとっぱ゜
蝶番,367,ちょうつがい
サイドパネルメッキカバー,368,さいどぱねるめっきかば゜
ゲートガイドブラケット,369,げ゜とがいどぶらけっと
荷台部,370,にだいぶ
アルミ板,371,アルミいた
車高灯,372,車たかとう
ステン,373,すてん
サイドガードステーパイプ,374,さいどが゜どすて゜ぱいぷ
バックミラー,375,ばっくみら゜
ツイストロック,376,ついすとろっく
床枠アングル,377,床枠あんぐる
抑え,378,抑え
コーナーガード,379,こ゜な゜が゜ど
ステーASSY,380,すてーASSY
サイドガードコーナー,381,さいどが゜どこ゜な゜
フロントフェンダーマッドガード,382,ふろんとふぇんだ゜まっどが゜ど
スプリングシート,383,すぷりんぐし゜と
コーナーパイプ,384,こ゜な゜ぱいぷ
リフレクターステー,385,りふれくた゜すて゜
タイコマフラー,386,たいこまふら゜
ウィング蝶番,387,ウィングちょうつがい
ケーブルクランプ,388,け゜ぶるくらんぷ
テープパイプ,389,て゜ぷぱいぷ
クランプ,390,くらんぷ
吊りげハンガー,391,吊りげハンガー
クッション,392,くっしょん
センタスロットルハンドル,393,せんたすろっとるはんどる
タックス,394,たっくす
ハブボルト,395,はぶぼると
シャフトボルト,396,しゃふとぼると
回転灯,397,かいてんとう
