name,sort_order,reading
踊場縞鋼板,1,おどりばしまこうはん
蝶番,2,ちょうつがい
バッテリー,3,ばってりー
ヒーターパイプ,4,ひーたーぱいぷ
観音扉,5,かんのんとびら
内張り,6,うちばり
レギュレター,7,れぎゅれたー
ラッチ,8,らっち
サッシュ,9,さっしゅ
アウターハンドル,10,あうたーはんどる
ガラスアウターカバー,11,がらすあうたーかばー
サニーホース,12,さにーほーす
ボルト,13,ぼると
コボレーンシャフト,14,こぼれーんしゃふと
ウィングシート,15,うぃんぐしーと
ステー,16,すてー
リブ,17,りぶ
フラットバー,18,ふらっとばー
反射板ステー,19,はんしゃばんすてー
リベット,20,りべっと
マフラーカバー,21,まふらーかばー
サイドガード,22,さいどがーど
パイプ,23,ぱいぷ
ウィングキャッチ,24,うぃんぐきゃっち
アンダーミラー,25,あんだーみらー
サイドガードステー,26,さいどがーどすてー
タイコマフラー,27,たいこまふらー
イコライザーロックピン,28,いこらいざーろっくぴん
ハンドル,29,はんどる
アオリ,30,あおり
